jar	namespace	source_kind	source_path	role	class	fields	methods	instructions	calls	field_accesses	literals
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.config	java		java-top-level	org/apache/activemq/artemis/api/config/ActiveMQDefaultConfiguration	213	215	798	28	330	257
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.config	java		java-top-level	org/apache/activemq/artemis/api/config/ServerLocatorConfig	31	2	316	2	134	52
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/BaseInterceptor	0	1	0	0	0	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/BroadcastEndpoint	0	6	0	0	0	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/BroadcastEndpointFactory	0	1	0	0	0	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/BroadcastGroupConfiguration	5	11	182	10	34	25
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/ChannelBroadcastEndpointFactory	5	7	77	12	16	7
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/DiscoveryGroupConfiguration	5	12	140	8	28	14
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/FilterConstants	12	2	59	12	11	12
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/ICoreMessage	0	20	79	28	0	10
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/Interceptor	0	0	0	0	0	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/JGroupsBroadcastEndpoint	7	12	159	36	37	10
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/JGroupsChannelBroadcastEndpoint	1	3	15	2	2	1
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/JGroupsFileBroadcastEndpoint	1	2	29	8	3	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/JGroupsFileBroadcastEndpointFactory	3	6	33	4	8	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/JsonUtil	0	18	1200	229	21	37
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-nested	org/apache/activemq/artemis/api/core/JsonUtil$NullableJsonString	2	5	48	5	10	2
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/Message	31	149	452	99	32	67
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/RefCountMessage	13	31	365	71	71	22
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-nested	org/apache/activemq/artemis/api/core/RefCountMessage$DebugState	5	9	120	29	16	10
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core	java		java-top-level	org/apache/activemq/artemis/api/core/RefCountMessageListener	0	6	2	0	0	0
