caller_namespace	target_kind	target	references	call_owner_references	field_owner_references	type_references	distinct_owners	owners
com.datomic.impl.peer	companion-jar	artemis-commons-2.31.2.jar	14	5	0	9	1	org/apache/activemq/artemis/api/core/ActiveMQBuffer
com.datomic.impl.peer	jdk	java.io	4	1	0	3	2	java/io/IOException,java/io/InputStream
com.datomic.lucene.store	companion-jar	datomic-lucene-core-3.3.0.jar	9	2	0	7	2	com/datomic/lucene/store/RAMFile,com/datomic/lucene/store/RAMInputStream
com.datomic.lucene.store	jdk	java.io	1	0	0	1	1	java/io/IOException
com.datomic.lucene.store	jdk	java.lang	2	1	0	1	1	java/lang/Object
datomic	companion-jar	clojure-1.11.4.jar	236	93	0	143	4	clojure/lang/Keyword,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Var
datomic	jdk	java.io	2	0	0	2	1	java/io/Reader
datomic	jdk	java.lang	494	30	0	464	13	[Ljava/lang/Object;,java/lang/Boolean,java/lang/IllegalArgumentException,java/lang/Iterable,java/lang/Long,java/lang/Object,java/lang/Runnable,java/lang/String,java/lang/StringBuffer,java/lang/invoke/CallSite,java/lang/invoke/MethodHandles$Lookup,java/lang/invoke/MethodType,java/lang/invoke/StringConcatFactory
datomic	jdk	java.util	95	21	0	74	17	java/util/ArrayList,java/util/Collection,java/util/Collections,java/util/Date,java/util/HashMap,java/util/Iterator,java/util/List,java/util/Map,java/util/Set,java/util/Spliterator,java/util/Spliterators,java/util/UUID,java/util/concurrent/BlockingQueue,java/util/concurrent/Executor,java/util/concurrent/Future,java/util/stream/Stream,java/util/stream/StreamSupport
datomic	primary-namespace	datomic	24	2	0	22	9	datomic/Attribute,datomic/Connection,datomic/Database,datomic/Database$Predicate,datomic/Entity,datomic/ListenableFuture,datomic/Log,datomic/QueryRequest,datomic/Util
datomic	primary-namespace	datomic.functions	2	0	0	2	1	datomic/functions/Fn
datomic.adopter	companion-jar	clojure-1.11.4.jar	290	98	1	191	19	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/Numbers,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
datomic.adopter	jdk	java.lang	187	6	1	180	8	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Number,java/lang/Object,java/lang/String,java/lang/System
datomic.adopter	jdk	java.util	5	1	0	4	3	java/util/Arrays,java/util/List,java/util/concurrent/Callable
datomic.adopter	primary-namespace	datomic.adopter	6	3	0	3	3	datomic/adopter$adopt_index,datomic/adopter$fn__20510,datomic/adopter$loading__6434__auto____20508
datomic.aggregation	companion-jar	clojure-1.11.4.jar	943	341	1	601	18	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IFn$OOL,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentVector,clojure/lang/Keyword,clojure/lang/LockingTransaction,clojure/lang/Numbers,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
datomic.aggregation	jdk	java.lang	765	27	2	736	10	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Double,java/lang/Integer,java/lang/Long,java/lang/Math,java/lang/Number,java/lang/Object,java/lang/String
datomic.aggregation	jdk	java.util	66	24	0	42	6	java/util/ArrayList,java/util/Arrays,java/util/Collection,java/util/Collections,java/util/List,java/util/concurrent/Callable
datomic.aggregation	primary-namespace	datomic.aggregation	38	19	0	19	19	datomic/aggregation$avg,datomic/aggregation$count,datomic/aggregation$count_distinct,datomic/aggregation$distinct,datomic/aggregation$fn__17081,datomic/aggregation$loading__6434__auto____17079,datomic/aggregation$max,datomic/aggregation$max$fn__17088,datomic/aggregation$max$fn__17090,datomic/aggregation$median,datomic/aggregation$min,datomic/aggregation$min$fn__17083,datomic/aggregation$rand,datomic/aggregation$rand$fn__17104,datomic/aggregation$sample,datomic/aggregation$stddev,datomic/aggregation$sum,datomic/aggregation$variance,datomic/aggregation$variance$fn__17100
datomic.api	companion-jar	clojure-1.11.4.jar	3548	1211	7	2330	31	clojure/lang/AFn,clojure/lang/AFunction,clojure/lang/Associative,clojure/lang/Compiler,clojure/lang/IFn,clojure/lang/IFn$LL,clojure/lang/IFn$LO,clojure/lang/IFn$OL,clojure/lang/ILookupSite,clojure/lang/ILookupThunk,clojure/lang/IObj,clojure/lang/IPersistentList,clojure/lang/IPersistentMap,clojure/lang/IPersistentSet,clojure/lang/IPersistentVector,clojure/lang/ISeq,clojure/lang/Indexed,clojure/lang/Keyword,clojure/lang/KeywordLookupSite,clojure/lang/LockingTransaction,clojure/lang/Namespace,clojure/lang/Numbers,clojure/lang/PersistentArrayMap,clojure/lang/PersistentHashMap,clojure/lang/PersistentHashSet,clojure/lang/PersistentList,clojure/lang/RT,clojure/lang/RestFn,clojure/lang/Symbol,clojure/lang/Tuple,clojure/lang/Var
datomic.api	jdk	java.lang	2816	69	26	2721	11	java/lang/Boolean,java/lang/Class,java/lang/ClassLoader,java/lang/Integer,java/lang/Iterable,java/lang/Long,java/lang/Number,java/lang/Object,java/lang/Runnable,java/lang/String,java/lang/Throwable
datomic.api	jdk	java.util	214	62	0	152	8	java/util/Arrays,java/util/Date,java/util/List,java/util/Map,java/util/UUID,java/util/concurrent/BlockingQueue,java/util/concurrent/Callable,java/util/concurrent/Executor
datomic.api	primary-namespace	datomic	114	55	0	59	7	datomic/Attribute,datomic/Connection,datomic/Database,datomic/Entity,datomic/ListenableFuture,datomic/Log,datomic/Peer
