reference_path	passage_families	trace_path	disposition
datomic_pro_docs/00_start_here/00_introduction.md	Setup; distribution; JVM/library/language and API topology	datomic_pro_docs/00_start_here/00_introduction.atomic.md	native-scope-and-host-disposition
datomic_pro_docs/00_start_here/01_datomic_pro_releases.md	Release dates, changes and operational notices	datomic_pro_docs/00_start_here/00_introduction.atomic.md	version-chronology-not-native-requirement
datomic_pro_docs/00_start_here/02_datomic_pro_change_log.md	Release dates, changes and operational notices	datomic_pro_docs/00_start_here/00_introduction.atomic.md	version-chronology-not-native-requirement
datomic_pro_docs/00_start_here/03_release_notices.md	Release dates, changes and operational notices	datomic_pro_docs/00_start_here/00_introduction.atomic.md	version-chronology-not-native-requirement
datomic_pro_docs/00_start_here/04_pro_setup.md	Setup; distribution; JVM/library/language and API topology	datomic_pro_docs/00_start_here/00_introduction.atomic.md	native-scope-and-host-disposition
datomic_pro_docs/00_start_here/05_accessing_the_peer_library.md	Setup; distribution; JVM/library/language and API topology	datomic_pro_docs/00_start_here/00_introduction.atomic.md	native-scope-and-host-disposition
datomic_pro_docs/00_start_here/06_peer_language_support.md	Setup; distribution; JVM/library/language and API topology	datomic_pro_docs/00_start_here/00_introduction.atomic.md	native-scope-and-host-disposition
datomic_pro_docs/01_tutorials/00_peer_mem_db_getting_started.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/01_peer_tutorial.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/02_run_a_transactor.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/03_connect_to_a_database.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/04_transact_schema.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/05_transact_data.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/06_query_the_data.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/01_tutorials/07_see_historic_data.md	Connection/setup; schema/data transaction; captured query; history examples	datomic_pro_docs/01_tutorials/01_peer_tutorial.atomic.md	shared-application-workflow
datomic_pro_docs/02_core_concepts/00_datomic_data_model.md	Datoms; entities; attributes/schema; time; immutable database values	datomic_pro_docs/03_schema/03_identity_and_uniqueness.atomic.md	shared-model-contract
datomic_pro_docs/02_core_concepts/01_programming_with_data_and_edn.md	Data structures; EDN types/readers; data versus host code	datomic_pro_docs/02_core_concepts/01_programming_with_data_and_edn.atomic.md	shared-data-contract
datomic_pro_docs/02_core_concepts/02_database_filters.md	as-of inclusive; since exclusive; history; predicate filter composition	datomic_pro_docs/02_core_concepts/02_database_filters.atomic.md	shared-read-contract
datomic_pro_docs/02_core_concepts/03_entities.md	Entity identity; lazy navigation/cache; references/components; entity time	datomic_pro_docs/05_query_and_pull/03_pull.atomic.md	shared-navigation-contract
datomic_pro_docs/02_core_concepts/04_best_practices.md	Capture one Db; pass values/data; parameterize queries; transactions and constraints	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	application-guidance-no-distinct-engine
datomic_pro_docs/02_core_concepts/05_glossary.md	Terminology for information model, architecture, time and APIs	datomic_pro_docs/00_start_here/00_introduction.atomic.md	terminology-cross-reference
datomic_pro_docs/03_schema/00_schema_data_reference.md	Schema attributes/types/cardinality; uniqueness; tuples; history; fulltext/index flags	datomic_pro_docs/03_schema/03_identity_and_uniqueness.atomic.md	shared-schema-contract
datomic_pro_docs/03_schema/01_changing_schema.md	Attribute evolution; allowed alterations; background availability; naming	datomic_pro_docs/03_schema/03_identity_and_uniqueness.atomic.md	shared-schema-contract
datomic_pro_docs/03_schema/02_data_modeling.md	Identity, relationships/components, tuples and naming choices	datomic_pro_docs/03_schema/03_identity_and_uniqueness.atomic.md	modeling-guidance-shared-contract
datomic_pro_docs/03_schema/03_identity_and_uniqueness.md	Entity IDs; idents; lookup refs; unique/value versus unique/identity	datomic_pro_docs/03_schema/03_identity_and_uniqueness.atomic.md	shared-identity-contract
datomic_pro_docs/04_transactions/00_transactions.md	Transaction overview; information sets; expansion and results	datomic_pro_docs/04_transactions/02_transaction_data.atomic.md	shared-transaction-contract
datomic_pro_docs/04_transactions/01_transaction_model.md	Time/order; db-before/db-after; information set; atomic shared assessment	datomic_pro_docs/04_transactions/05_acid.atomic.md	shared-transaction-contract
datomic_pro_docs/04_transactions/02_transaction_data.md	Grammar; map/list forms; identifiers; add/retract; transaction functions	datomic_pro_docs/04_transactions/02_transaction_data.atomic.md	shared-transaction-contract
datomic_pro_docs/04_transactions/03_processing_transactions.md	Submission; processing/identity closure; pipeline; reports; timeouts	datomic_pro_docs/04_transactions/03_processing_transactions.atomic.md	shared-transaction-contract
datomic_pro_docs/04_transactions/04_transaction_functions.md	Built-in/user functions; composition; stored definitions; JVM host execution	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	native-program-adaptation
datomic_pro_docs/04_transactions/05_acid.md	Atomicity, consistency, isolation, durability; log and publication	datomic_pro_docs/04_transactions/05_acid.atomic.md	shared-authority-contract
datomic_pro_docs/04_transactions/06_client_synchronization.md	sync/current versus target; basis/index/schema/excision completion; timeouts	datomic_pro_docs/07_peer_api/00_clojure/00_datomic_api.atomic.md	shared-observation-contract
datomic_pro_docs/04_transactions/07_partitions.md	Explicit/implicit partitions; allocation locality; tempids; entid-at	datomic_pro_docs/03_schema/03_identity_and_uniqueness.atomic.md	native-allocation-adaptation
datomic_pro_docs/04_transactions/08_transaction_hints.md	Opaque hints; speculative generation; transaction admission and use	datomic_pro_docs/04_transactions/03_processing_transactions.atomic.md	native-hint-adaptation
datomic_pro_docs/05_query_and_pull/00_query.md	Declarative query overview and examples	datomic_pro_docs/05_query_and_pull/01_executing_queries.atomic.md	shared-query-contract
datomic_pro_docs/05_query_and_pull/01_executing_queries.md	Db capture; q/qseq; unification; syntax; timeout; clause order; cache	datomic_pro_docs/05_query_and_pull/01_executing_queries.atomic.md	shared-query-contract
datomic_pro_docs/05_query_and_pull/02_query_reference.md	Grammar; sources; joins/rules; functions; grouping/aggregates; result shapes; fulltext	datomic_pro_docs/05_query_and_pull/02_query_reference.atomic.md	shared-query-contract
datomic_pro_docs/05_query_and_pull/03_pull.md	Pattern grammar; options; references/recursion; xforms; results	datomic_pro_docs/05_query_and_pull/03_pull.atomic.md	shared-navigation-contract
