keyword	total	namespaces
:*	1	datomic.pull:1
:AcceptIndexMsec	2	datomic.db:1,datomic.slf4j:1
:AddIndexMsec	2	datomic.index:1,datomic.slf4j:1
:Alarm	1	datomic.monitor:1
:AttributeValueList	2	datomic.core2.aws.ddb:2
:AvailableMB	2	datomic.aws-monitor:1,datomic.monitor:1
:B	3	datomic.core2.aws.ddb:3
:BOOL	2	datomic.core2.aws.ddb:2
:Body	2	datomic.core2.aws.s3.aws-api:2
:Bucket	3	datomic.core2.aws.s3.aws-api:3
:CacheStackRepair	1	datomic.kv-cache:1
:ComparisonOperator	2	datomic.core2.aws.ddb:2
:CompressMsec	1	datomic.slf4j:1
:ConsistentRead	1	datomic.core2.aws.ddb:1
:ContentLength	2	datomic.core2.aws.s3.aws-api:2
:Count	1	datomic.core2.log.ddb:1
:CreateEntireIndexMsec	1	datomic.slf4j:1
:CreateFulltextIndexMsec	2	datomic.fulltext:1,datomic.slf4j:1
:Datoms	1	datomic.stats:1
:DbAddFulltextMsec	2	datomic.db:1,datomic.slf4j:1
:DdbPutChunkMsec	2	datomic.ddb-values:1,datomic.slf4j:1
:DecompressFressianMsec	1	datomic.slf4j:1
:DecompressMsec	1	datomic.slf4j:1
:DefressianMsec	1	datomic.slf4j:1
:DeleteObject	1	datomic.core2.aws.s3.aws-api:1
:DeserializeNsec	1	datomic.fressian:1
:DirLoads	2	datomic.domain:2
:ExciseIOQueueCount	2	datomic.log:2
:ExciseSegments	1	datomic.index:1
:Exists	2	datomic.core2.aws.ddb:2
:Expected	1	datomic.core2.aws.ddb:1
:FressianMsec	1	datomic.slf4j:1
:FulltextSegments	1	datomic.stats:1
:FulltextWriteMsec	1	datomic.slf4j:1
:FulltextWriteNsec	1	datomic.cluster:1
:FutureBoundExceeded	1	datomic.future:1
:GarbageDeletedCount	1	datomic.garbage:1
:GarbageSegments	1	datomic.garbage:1
:GetObject	1	datomic.core2.aws.s3.aws-api:1
:HeartMonitorMsec	1	datomic.aws-monitor:1
:HeartbeatMsec	1	datomic.aws-monitor:1
:I	2	datomic.index:2
:IndexDatoms	1	datomic.stats:1
:IndexDirWrites	1	datomic.index:1
:IndexIOQueueCount	2	datomic.index:2
:IndexPacingMsec	1	datomic.index:1
:IndexSegments	1	datomic.stats:1
:IndexWriteBatchCount	1	datomic.index:1
:IndexWriteMsec	1	datomic.slf4j:1
:IndexWriteNsec	1	datomic.cluster:1
:IndexWriteQueueCount	1	datomic.index:1
:IndexWrites	1	datomic.index:1
:Item	1	datomic.core2.aws.ddb:1
:Items	2	datomic.core2.log.ddb:2
:Key	3	datomic.core2.aws.s3.aws-api:3
:KeyConditions	1	datomic.core2.aws.ddb:1
:LastEvaluatedKey	1	datomic.core2.log.ddb:1
:Limit	1	datomic.core2.aws.ddb:1
:LocalMemcache	1	datomic.memcached:1
:LocalMemcachedGetFailedNsec	1	datomic.memcached:1
:LocalMemcachedGetMissedNsec	1	datomic.memcached:1
:LocalMemcachedGetQueueFullNsec	1	datomic.memcached:1
:LocalMemcachedGetSucceededNsec	1	datomic.memcached:1
:LocalMemcachedGetTimeoutNsec	1	datomic.memcached:1
:LocalMemcachedPutFailedNsec	1	datomic.memcached:1
:LocalMemcachedPutSucceededNsec	1	datomic.memcached:1
:LogIngestBytes	2	datomic.aws-monitor:1,datomic.log:1
:LogIngestMsec	2	datomic.aws-monitor:1,datomic.log:1
:LogWriteMsec	2	datomic.log:1,datomic.slf4j:1
:M	3	datomic.index:3
:Memcache	1	datomic.memcached:1
:MemcacheItemTooLarge	1	datomic.memcached:1
:MemcachedGetFailedMsec	1	datomic.aws-monitor:1
:MemcachedGetFailedNsec	1	datomic.memcached:1
:MemcachedGetMissedNsec	1	datomic.memcached:1
:MemcachedGetQueueFullNsec	1	datomic.memcached:1
:MemcachedGetSucceededMsec	1	datomic.aws-monitor:1
:MemcachedGetSucceededNsec	1	datomic.memcached:1
:MemcachedGetTimeoutNsec	1	datomic.memcached:1
:MemcachedPutFailedMsec	1	datomic.aws-monitor:1
:MemcachedPutFailedNsec	1	datomic.memcached:1
:MemcachedPutSucceededMsec	1	datomic.aws-monitor:1
:MemcachedPutSucceededNsec	1	datomic.memcached:1
:MemoryIndexFillMsec	1	datomic.aws-monitor:1
:MemoryIndexMB	1	datomic.aws-monitor:1
:MetricsFail	1	datomic.process-monitor:1
:MetricsReport	1	datomic.process-monitor:1
:N	7	datomic.core2.aws.ddb:3,datomic.core2.log.ddb:1,datomic.index:3
:ObjectCache	2	datomic.domain:2
:ObjectCacheCount	1	datomic.cache.caffeine:1
:PeerAcceptNewMsec	2	datomic.peer:1,datomic.slf4j:1
:PeerFulltextBatch	1	datomic.peer:1
:PeerIntegrateLuceneMsec	1	datomic.slf4j:1
