owner	references	call_owner_references	field_owner_references	type_references	reference_kinds	resolution	defining_jars
[B	82	0	0	82	type-instruction=82	jdk:array	
[C	2	0	0	2	type-instruction=2	jdk:array	
[D	1	0	0	1	type-instruction=1	jdk:array	
[F	1	0	0	1	type-instruction=1	jdk:array	
[I	26	2	0	24	method-owner=2,type-instruction=24	jdk:array	
[J	34	0	0	34	type-instruction=34	jdk:array	
[Lcom/datomic/lucene/index/IndexReader;	1	0	0	1	type-instruction=1	jar:datomic-lucene-core-3.3.0.jar	
[Ljava/lang/Class;	2	0	0	2	type-instruction=2	jdk:java.lang	
[Ljava/lang/Object;	224	0	0	224	type-instruction=224	jdk:java.lang	
[Ljava/lang/String;	11	0	0	11	type-instruction=11	jdk:java.lang	
[Ljava/nio/file/CopyOption;	2	0	0	2	type-instruction=2	jdk:java.nio	
[Ljava/nio/file/LinkOption;	2	0	0	2	type-instruction=2	jdk:java.nio	
[Ljava/nio/file/OpenOption;	6	0	0	6	type-instruction=6	jdk:java.nio	
[Ljava/nio/file/attribute/FileAttribute;	2	0	0	2	type-instruction=2	jdk:java.nio	
[Lorg/apache/activemq/artemis/api/core/TransportConfiguration;	1	0	0	1	type-instruction=1	jar:artemis-core-client-2.31.2.jar	
[Lorg/infinispan/client/hotrod/Flag;	1	0	0	1	type-instruction=1	unresolved	
[Z	4	0	0	4	type-instruction=4	jdk:array	
clojure/data/EqualityPartition	6	2	0	4	method-owner=2,type-instruction=4	jar:clojure-1.11.4.jar	clojure-1.11.4.jar
clojure/java/io/Coercions	12	4	0	8	method-owner=4,type-instruction=8	jar:clojure-1.11.4.jar	clojure-1.11.4.jar
clojure/java/io/IOFactory	3	1	0	2	method-owner=1,type-instruction=2	jar:clojure-1.11.4.jar	clojure-1.11.4.jar
clojure/lang/AFn	24352	1	0	24351	field-descriptor=6019,field-instruction-descriptor=12313,method-owner=1,type-instruction=6019	jar:clojure-1.11.4.jar	clojure-1.11.4.jar
clojure/lang/AFunction	10184	4796	296	5092	field-owner=296,method-owner=4796,super=4796,type-instruction=296	jar:clojure-1.11.4.jar	clojure-1.11.4.jar
