metric	value
primary.jar	peer-1.0.7277.jar
primary.sha256	cb55c9d01e155f9965e3332cd8ef70be42cdefacb50c072076e9ecf22b9a23ba
primary.class_entries	5517
primary.parsed_classes	5517
primary.fields	38718
primary.methods	22014
primary.instructions	850016
primary.calls	169882
primary.invokedynamic	26
primary.field_accesses	107220
primary.literal_instructions	191255
primary.literal_fields	10
primary.clojure_aot_classes	5470
primary.java_classes	47
primary.unknown_source_classes	0
primary.source_mapped_classes	5517
primary.distinct_clojure_source_paths	142
primary.distinct_java_source_paths	43
primary.namespace_init_classes	142
primary.distinct_namespaces	150
primary.resource_entries	10
pom.input_path	/home/jake/Developer/datomic/datomic-pro-1.0.7277/pom.xml
pom.input_sha256	34b9caaa92b72b5a6d69397c5d7908a5b79fc7c29cb75ba4af490ff59fed0be9
pom.embedded_entry	META-INF/maven/com.datomic/peer/pom.xml
pom.embedded_sha256	34b9caaa92b72b5a6d69397c5d7908a5b79fc7c29cb75ba4af490ff59fed0be9
pom.embedded_matches_input	true
distribution.companion_jars	533
distribution.indexed_class_names	187068
distribution.duplicate_class_names	544
pom.direct_dependencies	33
pom.exactly_resolved	29
pom.fallback_resolved	2
pom.missing	2
detail.jars	33
detail.classes	21701
parse.warnings	0
