source_namespace	source_var	target	count
datomic.adopter	adopt-index	datomic.db/accept-txes	2
datomic.adopter	adopt-index	datomic.db/memlog-txes-since	2
datomic.aggregation	avg	datomic.aggregation/sum	1
datomic.aggregation	max	datomic.common/compare	2
datomic.aggregation	min	datomic.common/compare	1
datomic.aggregation	sample	datomic.math/reservoir-sample	1
datomic.aggregation	stddev	datomic.aggregation/variance	1
datomic.aggregation	variance	datomic.aggregation/avg	1
datomic.aggregation	variance	datomic.aggregation/sum	1
datomic.api	cancel	datomic.fressian/fressianable?	1
datomic.api	datoms	datomic.db/datoms	1
datomic.api	implicit-part	datomic.db/implicit-part	1
datomic.api	implicit-part-id	datomic.db/implicit-part-id	1
datomic.api	index-pull	datomic.pull/dereffed-index-pull	1
datomic.api	q	datomic.query/q	1
datomic.api	qseq	datomic.query/qseq	1
datomic.api	query	datomic.query/query	1
datomic.api	seek-datoms	datomic.db/seek-datoms	1
datomic.artemis-client	RpcClient	datomic.monitor/alarm	1
datomic.artemis-client	RpcClient	datomic.slf4j/caused-by	1
datomic.artemis-client	RpcClient	datomic.slf4j/process	1
datomic.artemis-client	RpcServer	datomic.monitor/alarm	1
datomic.artemis-client	RpcServer	datomic.slf4j/caused-by	1
datomic.artemis-client	RpcServer	datomic.slf4j/process	1
datomic.artemis-client	SessionFactoryBundle	datomic.artemis-client/wrap-as-failure-listener	1
datomic.artemis-client	SessionFactoryBundle	datomic.common/require-keys	1
datomic.artemis-client	SessionFactoryBundle	datomic.monitor/alarm	1
datomic.artemis-client	SessionFactoryBundle	datomic.slf4j/caused-by	1
datomic.artemis-client	SessionFactoryBundle	datomic.slf4j/process	1
datomic.artemis-client	create-deserializer	datomic.artemis-client/input-stream	1
datomic.artemis-client	create-deserializer	datomic.fressian/create-reader	1
datomic.artemis-client	create-fressian-message	datomic.artemis-client/output-stream	1
datomic.artemis-client	create-fressian-message	datomic.fressian/create-writer	1
datomic.artemis-client	create-rpc-client	datomic.artemis-client/create-consumer	1
datomic.artemis-client	create-rpc-client	datomic.artemis-client/create-deserializer	1
datomic.artemis-client	create-rpc-client	datomic.artemis-client/create-producer	1
datomic.artemis-client	create-rpc-client	datomic.artemis-client/create-serializer	1
datomic.artemis-client	create-rpc-client	datomic.artemis-client/set-handler	1
datomic.artemis-client	create-rpc-client	datomic.cache/create-response-map	1
datomic.artemis-client	create-rpc-client	datomic.cache/remove	1
datomic.artemis-client	create-rpc-client	datomic.error/report	8
datomic.artemis-client	create-rpc-client	datomic.error/runonce	4
