namespace	name	kind	visibility	line	arglists	doc
datomic.adopter	adopt-index	defn	public	9	[db_ref adopt_db]	
datomic.aggregation	min	defn	public	24	[n coll] [coll]	
datomic.aggregation	max	defn	public	31	[n coll] [coll]	
datomic.aggregation	count	defn	public	45	[coll]	
datomic.aggregation	count-distinct	defn	public	46	[coll]	
datomic.aggregation	distinct	defn	public	47	[coll]	
datomic.aggregation	sum	defn	public	48	[coll]	
datomic.aggregation	avg	defn	public	49	[coll]	
datomic.aggregation	median	defn	public	51	[coll]	
datomic.aggregation	variance	defn	public	63	[coll]	
datomic.aggregation	stddev	defn	public	73	[coll]	
datomic.aggregation	rand	defn	public	75	[n coll] [coll]	
datomic.aggregation	sample	defn	public	81	[n coll]	
datomic.api	connect	defn	public	34	[uri]	
datomic.api	create-database	defn	public	43	[uri]	
datomic.api	delete-database	defn	public	44	[uri]	
datomic.api	get-database-names	defn	public	45	[uri]	
datomic.api	administer-system	defn	public	46	[options]	
datomic.api	rename-database	defn	public	47	[uri new_name]	
datomic.api	q	defn	public	48	[query & inputs]	
datomic.api	query	defn	public	49	[query_map]	
datomic.api	qseq	defn	public	50	[query_map]	
datomic.api	tempid	defn	public	51	[partition n] [partition]	
datomic.api	t->tx	defn	public	54	[t]	
datomic.api	tx->t	defn	public	55	[tx]	
datomic.api	part	defn	public	56	[eid]	
datomic.api	function	defn	public	57	[m]	
datomic.api	db	defn	public	58	[connection]	
datomic.api	log	defn	public	69	[connection]	
datomic.api	sync	defn	public	80	[connection t] [connection]	
datomic.api	sync-index	defn	public	83	[connection t]	
datomic.api	sync-schema	defn	public	85	[connection t]	
datomic.api	sync-excise	defn	public	87	[connection t]	
datomic.api	request-index	defn	public	89	[connection]	
datomic.api	gc-storage	defn	public	90	[connection older_than]	
datomic.api	transact	defn	public	94	[connection tx_data & p__19587]	
datomic.api	transact-async	defn	public	102	[connection tx_data & p__19590]	
datomic.api	tx-report-queue	defn	public	110	[connection]	
datomic.api	remove-tx-report-queue	defn	public	111	[connection]	
datomic.api	as-of	defn	public	113	[db t]	
datomic.api	since	defn	public	124	[db t]	
datomic.api	history	defn	public	135	[db]	
datomic.api	filter	defn	public	146	[db pred]	
datomic.api	with	defn	public	158	[db tx_data & opts] [db tx_data]	
datomic.api	basis-t	defn	public	161	[db]	
datomic.api	next-t	defn	public	162	[db]	
datomic.api	as-of-t	defn	public	163	[db]	
datomic.api	since-t	defn	public	164	[db]	
datomic.api	is-history	defn	public	165	[db]	
datomic.api	is-filtered	defn	public	166	[db]	
datomic.api	attribute	defn	public	167	[db attrid]	
datomic.api	entity	defn	public	168	[db eid]	
datomic.api	pull	defn	public	169	[db pattern eid & p__19608]	
datomic.api	index-pull	defn	public	177	[db arg_map]	
datomic.api	pull-many	defn	public	178	[db pattern eids & p__19612]	
datomic.api	touch	defn	public	186	[entity]	
datomic.api	entity-db	defn	public	187	[entity]	
datomic.api	index-range	defn	public	188	[db attrid start end]	
datomic.api	tx-range	defn	public	189	[log start end]	
datomic.api	ident	defn	public	190	[db eid]	
datomic.api	entid	defn	public	191	[db ident]	
datomic.api	entid-at	defn	public	192	[db part t_or_date]	
datomic.api	invoke	defn	public	193	[db eid_or_ident & args]	
datomic.api	datoms	defn	public	194	[db index & components]	
datomic.api	seek-datoms	defn	public	195	[db index & components]	
datomic.api	resolve-tempid	defn	public	196	[db tempids tempid]	
datomic.api	shutdown	defn	public	198	[shutdown_clojure]	
datomic.api	release	defn	public	210	[conn]	
datomic.api	cancel	defn	public	221	[p__19629]	
datomic.api	squuid	defn	public	254	[]	
datomic.api	squuid-time-millis	defn	public	255	[squuid]	
datomic.api	add-listener	defn	public	256	[fut f executor]	
datomic.api	db-stats	defn	public	263	[db]	
datomic.api	implicit-part	defn	public	274	[id]	
datomic.api	implicit-part-id	defn	public	275	[part]	
datomic.artemis-client	netty-connector-factory	def	public	51		org.apache.activemq.artemis.core.remoting.impl.netty.NettyConnectorFactory
datomic.artemis-client	in-vm-connector-factory	def	public	53		org.apache.activemq.artemis.core.remoting.impl.invm.InVMConnectorFactory
datomic.artemis-client	create-transport	defn	public	55	[factory & transport_opts]	
datomic.artemis-client	create-connector	defn	public	81	[connector_class_name & kvs]	
datomic.artemis-client	HornetImpl	defonce	public	93		
datomic.artemis-client	HornetImpl	defprotocol	public	94		
datomic.artemis-client	start-session	defn	public	95	[factory creds & args]	
datomic.artemis-client	wrap-as-failure-listener	defn	private	96	[f]	
datomic.artemis-client	SessionFactoryBundle	deftype	public	120		
datomic.artemis-client	->SessionFactoryBundle	defn	public	183	[locator factory cleanup]	
datomic.artemis-client	create-server-locator	defn	private	186	[connector p__20814]	
datomic.artemis-client	create-session-factory	defn	public	211	[connector opts]	
datomic.artemis-client	create-temporary-queue	defn	public	296	[session address]	
datomic.artemis-client	delete-queue	defn	public	304	[session queue]	
datomic.artemis-client	create-producer	defn	public	313	[session address]	
datomic.artemis-client	create-consumer	defn	public	330	[session queue_name & p__20844]	
datomic.artemis-client	set-handler	defn	public	372	[consumer handler]	
datomic.artemis-client	create-message	defn	public	381	[session message_type durable expiration timestamp priority] [session message_type durable] [session durable]	
datomic.artemis-client	output-stream	defn	public	418	[msg]	
datomic.artemis-client	input-stream	defn	public	439	[msg]	
datomic.artemis-client	create-fressian-message	defn	public	444	[session lookup obj & message_args]	
datomic.artemis-client	create-serializer	defn	public	450	[write_handlers]	
datomic.artemis-client	create-deserializer	defn	public	458	[read_handlers]	
datomic.artemis-client	read-batch	defn	public	466	[msg read_handlers]	
datomic.artemis-client	fressian-producer	defn	public	469	[hornet_session hornet_producer write_handlers]	
datomic.artemis-client	RpcClient	deftype	public	496		
datomic.artemis-client	->RpcClient	defn	public	524	[session producer consumer serializer response_map producer_queue consumer_queue cleanup]	
datomic.artemis-client	create-rpc-client	defn	public	535	[session request_address response_address & p__20877]	
datomic.artemis-client	RpcServer	deftype	public	672		
datomic.artemis-client	->RpcServer	defn	public	700	[consumer producer cleanup]	
datomic.artemis-client	create-rpc-server	defn	public	702	[session_fn request_address response_address handler & p__20918]	
datomic.artemis-client	rpc-request	defn	public	884	[conn request]	
datomic.assert	*level*	def	public	13		
datomic.assert	*result*	def	public	15		
datomic.assert	*assert-handler*	def	public	17		
datomic.assert	local-bindings	defn	private	21	[env]	
datomic.assert	assertion-repl	defn	public	38	[error]	
datomic.assert	assert	defn	public	50	[&form &env x msg] [&form &env x]	
datomic.async	name-map	def	public	10		
datomic.async	binding-conveyor-fn	def	public	11		
datomic.async	daemon	defn	public	12	[f base]	
datomic.async	DiscardPolicy	deftype	public	41		
datomic.async	->DiscardPolicy	defn	public	49	[f]	
datomic.async	discard-policy	defn	public	50	[f]	
datomic.aws	aws-access-key-id?	defn	public	24	[s]	
datomic.aws	aws-secret-key?	defn	public	25	[s]	
datomic.aws	credentials?	defn	public	26	[m]	
datomic.aws	set-endpoint	defn	public	27	[client endpoint]	
datomic.aws	credentials	defn	public	31	[creds]	
datomic.aws	endpoint-for	defn	public	52	[service region]	
datomic.aws	data-to-object	defmethod	public	56		
datomic.aws	newclient	defn	public	353	[&form &env cls creds conf] [&form &env cls creds]	
datomic.aws	defclient	defn	public	405	[&form &env cls service]	
datomic.aws	client-config	defn	public	576	[args]	
datomic.aws-detect	quickstream	defn	public	20	[path timeout]	
datomic.aws-detect	get-ec2-private-ip	defn	public	28	[]	
datomic.aws-detect	get-ec2-public-ip	defn	public	33	[]	
datomic.aws-detect	running-in-ec2-ref	def	public	38		
datomic.aws-detect	running-in-ec2?	defn	public	39	[]	
datomic.aws-monitor	Qn	defonce	public	26		
datomic.aws-monitor	Qn	defprotocol	public	27		
datomic.aws-monitor	units	def	public	38		
datomic.aws-monitor	ToMetricData	defonce	public	66		
datomic.aws-monitor	ToMetricData	defprotocol	public	67		
datomic.aws-monitor	to-metric-data	defn	public	98	[statistics]	
datomic.aws-monitor	AWS_METRIC_DATA_COUNT_LIMIT	def	public	108		
datomic.aws-monitor	create-request-map	defn	public	112	[dimensions metrics]	
datomic.aws-monitor	MILLION	def	public	119		
datomic.aws-monitor	partitioned-metrics-requests	defn	public	121	[dimensions metrics]	
datomic.aws-monitor	report-metrics	defn	public	124	[client dimensions metrics]	
