evidence_id	prepatch_source_site	warning_or_defect	minimal_repair	oracle_class	oracle_method	oracle_method_descriptor	oracle_opcode_evidence	focused_validation
DL001	datomic/datalog.clj:164	primitive recur h Object->long	cast only hashCombine branch to long	datomic/datalog$hashxf$fn__18112	invoke	(Ljava/lang/Object;)Ljava/lang/Object;	#36 INVOKESTATIC clojure/lang/Util.hashCombine (II)I; #37 I2L; local h J	fresh load; warning absent; surface parity
DL002	datomic/datalog.clj:179	primitive recur h Object->long	cast only hashCombine branch to long	datomic/datalog$hashyf$fn__18115	invoke	(Ljava/lang/Object;)Ljava/lang/Object;	#37 INVOKESTATIC clojure/lang/Util.hashCombine (II)I; #38 I2L; local h J	fresh load; warning absent; surface parity
DL003	datomic/datalog.clj:370:27	getClass reflection on xs	type receiver as java.lang.Object	datomic/datalog$fn__18160	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#71 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity
DL004	datomic/datalog.clj:393:27	getClass reflection on xs	type receiver as java.lang.Object	datomic/datalog$fn__18162	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#71 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity
DL005	datomic/datalog.clj:467:19	getClass reflection on src	type receiver as java.lang.Object	datomic/datalog$fn__18209	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	#23 INVOKEVIRTUAL java/lang/Object.getClass ()Ljava/lang/Class;	fresh load; warning absent; surface parity
DL006	datomic/datalog.clj:991	primitive recur h Object->long	cast only hashCombine branch to long	datomic/datalog$fn__18233$hashx__18328	invoke	(Ljava/lang/Object;)Ljava/lang/Object;	#42 INVOKESTATIC clojure/lang/Util.hashCombine (II)I; #43 I2L; local h J	fresh load; warning absent; surface parity
DL007	datomic/datalog.clj:1008	primitive recur h Object->long	cast only hashCombine branch to long	datomic/datalog$fn__18233$hashy__18330	invoke	(Ljava/lang/Object;)Ljava/lang/Object;	#42 INVOKESTATIC clojure/lang/Util.hashCombine (II)I; #43 I2L; local h J	fresh load; warning absent; surface parity
DF001	datomic/datafy.clj:56:46	getParameterTypes reflection	type first setter as java.lang.reflect.Method	datomic/datafy$filter_overlapped_setters$fn__17166	invoke	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST java/lang/reflect/Method; #50 INVOKEVIRTUAL java/lang/reflect/Method.getParameterTypes ()[Ljava/lang/Class;	fresh load; warning absent; surface parity; overloaded-setter path
TH001	datomic/core2/thread.clj:69:17	ExecutorService.submit overload unresolved	type binding-conveyor result as Callable	datomic/core2/thread$pfuture	invokeStatic	(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;	CHECKCAST java/util/concurrent/Callable; #12 INVOKEINTERFACE java/util/concurrent/ExecutorService.submit (Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;	fresh load; warning absent; surface parity; Stage-3 pfuture probe
TH002	datomic/core2/thread.clj:313:20	ThreadPoolExecutor constructor unresolved	type daemon-factory result as ThreadFactory	datomic/core2/thread$handoff_thread_pool	invokeStatic	(Ljava/lang/Object;)Ljava/lang/Object;	#149 INVOKESPECIAL java/util/concurrent/ThreadPoolExecutor.<init> (IIJLjava/util/concurrent/TimeUnit;Ljava/util/concurrent/BlockingQueue;Ljava/util/concurrent/ThreadFactory;)V; preceding CHECKCAST java/util/concurrent/ThreadFactory	fresh load; warning absent; surface parity; Stage-3 pool rejection probe
