jar	class_entries	parsed_classes	fields	methods	instructions	calls	invokedynamic	field_accesses	literal_instructions	literal_fields	clojure_aot_classes	java_classes	unknown_source_classes	namespace_init_classes	distinct_namespaces	resource_entries
anomalies-0.1.12.jar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
artemis-core-client-2.31.2.jar	422	422	2180	6250	74526	12622	380	9839	6602	552	0	422	0	0	39	9
aws-java-sdk-cloudwatch-1.12.564.jar	311	311	736	3139	59896	13412	0	2776	6843	15	0	311	0	0	5	3
aws-java-sdk-dynamodb-1.12.564.jar	1318	1318	3287	11001	176137	41868	0	12582	17211	70	0	1318	0	0	17	4
aws-java-sdk-s3-1.12.564.jar	903	903	2731	8172	102356	20696	0	9496	10014	311	0	903	0	0	31	4
aws-sigv4-auth-cassandra-java-driver-plugin-4.0.9.jar	3	3	14	26	527	115	0	33	67	6	0	3	0	0	1	3
caffeine-3.1.5.jar	703	703	2921	6376	54502	7996	122	6675	3361	61	0	175	528	0	3	2
cassandra-driver-core-3.7.1.jar	745	745	2171	5625	91770	18227	0	9994	8035	237	0	745	0	0	6	4
caster-1.0.45.jar	61	61	305	242	7972	1670	0	839	2225	0	61	0	0	1	1	4
clojure-1.11.4.jar	3600	3600	12924	16577	538673	99860	2	42605	125904	502	2801	799	0	43	52	48
commons-codec-1.15.jar	106	106	410	974	49786	3425	0	1478	16538	166	0	106	0	0	7	133
commons-compiler-jdk-3.0.12.jar	54	54	127	285	5115	988	0	380	404	2	0	54	0	0	6	6
commons-io-2.15.1.jar	339	339	686	3168	38354	7656	337	2972	3392	102	0	338	1	0	16	5
core.async-1.6.681.jar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
core2-1.0.140.jar	510	510	3288	1829	78889	14723	0	10734	16942	0	510	0	0	25	25	3
datomic-lucene-core-3.3.0.jar	873	873	3146	6448	156648	20919	0	20213	16220	347	0	873	0	0	16	3
fressian-0.6.8.jar	74	74	137	309	5378	943	0	307	616	92	0	74	0	0	3	3
h2-2.1.214.jar	1028	1028	5768	13001	375969	65691	64	31166	44577	1684	0	1028	0	0	58	3
httpclient-4.5.13.jar	470	470	1221	3109	55536	11331	0	5154	5249	238	0	470	0	0	24	8
io-stats-1.0.14.jar	38	38	222	144	4882	1021	0	551	1244	0	38	0	0	2	2	4
java-driver-core-shaded-4.17.0.jar	3574	3574	13573	36120	576969	97416	564	59426	51463	1464	0	3574	0	0	202	8
java-io-0.1.29.jar	124	124	574	474	15405	3525	0	1378	4133	1	121	3	0	9	11	4
jcl-over-slf4j-1.7.36.jar	9	9	46	149	1308	309	0	131	176	24	0	9	0	0	2	4
jul-to-slf4j-1.7.36.jar	1	1	6	14	266	49	0	18	18	1	0	1	0	0	1	3
log4j-over-slf4j-1.7.36.jar	30	30	44	196	1165	222	0	139	138	18	0	30	0	0	4	3
memcache-asg-java-client-1.1.0.36.jar	297	297	1005	2137	33521	6602	0	3859	3157	196	0	297	0	0	16	2
peer-1.0.7277.jar	5517	5517	38718	22014	850016	169882	26	107220	191255	10	5470	47	0	142	150	10
postgresql-42.5.1.jar	468	468	1625	4342	136736	16543	14	8693	30629	256	0	468	0	0	44	7
query-stats-1.0.13.jar	33	33	202	118	3305	726	0	490	750	0	33	0	0	1	1	4
query-support-0.8.28.jar	2	2	5	28	266	45	0	37	14	0	0	2	0	0	1	6
slf4j-api-1.7.32.jar	34	34	97	455	3508	658	0	240	333	42	0	34	0	0	4	3
tomcat-jdbc-7.0.109.jar	54	54	340	1005	14383	2974	0	1383	1446	101	0	54	0	0	4	5
tools.cli-1.0.219.jar	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
