jar	namespace	source_paths	source_kind_class_counts	has_init_class	classes	fields	methods	instructions	calls	invokedynamic	field_accesses	literals
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.config		java=2	false	2	244	217	1114	30	1	464	309
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core		java=24	false	24	113	357	4075	761	20	435	321
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core.client		java=19	false	19	60	368	495	102	2	71	91
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core.client.loadbalance		java=5	false	5	3	9	62	7	0	12	11
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core.jgroups		java=4	false	4	15	29	599	93	2	96	72
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.api.core.management	datomic/Attribute.java	java=29	false	29	194	590	2532	442	12	318	407
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.buffers.impl		java=1	false	1	2	45	359	91	0	24	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.client		java=4	false	4	4	342	2160	429	0	210	255
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.client.impl		java=67	false	67	365	1355	18541	3104	29	2365	1299
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.cluster		java=5	false	5	18	25	763	129	3	132	43
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.config		java=3	false	3	13	42	487	68	0	75	39
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.config.federation		java=11	false	11	47	155	1955	277	0	348	127
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.exception		java=1	false	1	1	2	11	2	0	1	1
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.message		java=2	false	2	0	11	0	0	0	0	0
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.message.impl		java=7	false	7	30	353	3152	628	4	368	166
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.message.openmbean		java=2	false	2	59	14	727	124	4	64	196
artemis-core-client-2.31.2.jar	org.apache.activemq.artemis.core.protocol		java=1	false	1	2	3	61	13	0	3	1
