namespace	relationship	transactor_init_sha256	peer_init_sha256
datomic.adopter	shared	a2baab834db3d5974724cae58a568decdd1b7987a025181c7df0cac8bda586da	fa8747dcdd3ff946b9acf5e2e2a25cb062820bc7b5f75983c6aec23087701a94
datomic.aggregation	shared	55a31558ca09660bd9131c60143958103df45bc5ad2a0bec97804e64feacf7d4	5a8d68ad64e711670bf7a7b0e5b5de237e6d80416921d153b9326bfa1498cb46
datomic.api	shared	334c8c9c29df7bb1ff0ee402472e8a973cf8d7672a1a03a677e4f836fe0159d1	8160df617061556ae306d1dbb467dd5ba1bd78a139aaa08da30dc157a71c5c6a
datomic.artemis_client	shared	9e9e71764d0db644b008dec4affc6a51cd749063cb6fa6fe99a8dc1770989549	09c92dcffc5a69211fce401e07f58f2dfcdb7f35fc5f7ad431104091771b9467
datomic.artemis_server	transactor-only	03377466403209dfbf60141778f88d5aa42374e6d1cb31c4d65ee04402f2a001	
datomic.assert	shared	e5131f7b488956da58503d88b134801e95f0ff7ef93b9a2ef4c0cc9cb2711197	75d33a4bb19894cd075201ca36ead617f172b38e076778eabe3bf3ce692e42c0
datomic.async	shared	7c88bf1c68dda742dfe48384b4c910d894df2a878943d39e3d90d43da6eed76d	9791497cd1782b2140e76fcbcffb66b04d6f21b1a2e4f4795bd93ba86628aa61
datomic.aws	shared	03d111a914cb4dec3e8a399d70f3c407cd136c2136b868bb4f11dc1bc8968b95	8f91870156096e1a198a15ac4428f79c22bb2dc7d0ac6553688bac74356d32fd
datomic.aws_detect	shared	3bf1cf30023e8d2293708014699e1071bf2288dc7503e663ac8a204649402d35	c5c6a40a6d2a56321fe008f081a5edf4ccb490ea3e6cfbca107073cc5e470053
datomic.aws_monitor	shared	bdbac87d25c74ddd9b24e7dc141f447cc449caff589e01015812cea275b8d21d	f4b3e4ee591871ea735cd73beb575288379f392a9f533b7b524627c52d5d3111
datomic.backup	shared	8f8f4d7ef5a51c6e8298574715430d6679c31a22273ea064a62110df40c75e3c	b8284eb359713c1bc2dd4df26ba65cc66dd752b03ba70fface01e9483ee0eab7
datomic.backup_cli	transactor-only	8e69715ec8d8333d0b9f52b4ff9b2daa69b352f533beea69a076f0ae8b9d436f	
datomic.btset	shared	481f69d4bc624f88ca628c78c099066b41fce232aecd803c74393c64e846eb6b	78d67091ae74efdbb5fed390df3d483aebd312de7efc1b9df1dfd25f1eb9c858
datomic.builtins	shared	e694ac33bcd74c7ea7c51b9dd0d9eb9b053218df0fc8fd37e3f66af261038107	5b2a31c8d5b1c4e4c2ab8c0fdd68ffa9a5978e329c6f6c085e1df73421ea18ee
datomic.cache	shared	f39e69190378cddba5c717f00da465f2cff70cfe80d48de713691067f51305a0	76be029761891f37b5f71b3a4034de4a5782a54b17c285d2a390bd2626990e04
datomic.cache.caffeine	shared	3cc79e141fe5031a8b193dfc68a49aaa74cf9d06a1c8d483d7514bca28a6cd6a	7b86cf7a77fe7a3e1fa9e002c2e835042768d72b063d92c8bb06f022dc189c2a
datomic.cache.impl	shared	1f8b837bba78bb86424e33cebbdadcf9463f023177eed901112e9d1bdb681780	45dbdfe6ee75523d1a006ab771c43fcd6a57c6e897eb360ae270584338e7ca4d
datomic.callback	shared	f27578d5b1d8125c4478c40794cf10888dda7cc7d69f4fadbe5507fd0083d005	b41b7a7924059e889fb3959e892406cd5d6137287d20bb19864d26c381f5904a
datomic.cassandra	shared	80117502ef511b8f62489e8f4bc2167c4e87d844dca60727223c451a1aa79a84	63f35e2649f3ee5f22b1c6c768fd3f9f9d7bb94a872b1e93863232cec5489d3e
datomic.cassandra_v4	shared	bd7ce80f8dbbe40e1ef4a96a14aa278aeee3f52f968f5a80a224a4215bd82cb4	35f18a7099334b506ed4c9e9c4c112476472662f4c20a54b6d25a9614c6a05f5
datomic.cassandra_values	shared	2107e11a489e9c02820905026967d0fef91f95495ef00947cdd9a6a5b7e2f44d	912bbd7b2804e2b8651764791d4a56bb43961c93a5d9f9de435db40d7915273b
datomic.cassandra_values_v4	shared	6b53ca25daca4fd1acfe6cb8b6239c4b8b44272c30289b0777925f119f7f1c22	d65a31a062b8b12b8c4e44de30405a66e697b5d3c73dd68574c541e51ecb2f31
datomic.cast2slf4j	shared	dea9c24ebae4ffa1c868b4b15f5bf14c9755b6c9824c3ef6851656f8feac8af8	e06f2507ffad14af08730692bd4f9db91941d21537b1a086b7e1a4b5c0c3e590
datomic.cast2slf4j.peer_server	transactor-only	accd09242be8469423831d107e2703f00a5f5f7caf03a16b09a9bff5399f61e4	
datomic.catalog	shared	8e07fd4500466bd586772449d65cd61216bc0da0fcd433ad75280ffe99bcf696	da01c3e08ff85331675c750c1d58c6305bb8b61b394ea88237b6929af3bda9a0
datomic.cleanup	shared	6faa7325e50daf0b015a7578b4bf95cc17c3457100b711e3305e8ea8390f2c15	b889f2d4d6721c713b9366de7b7bcbbcf4c463792306fba4667d33f2774d88e2
datomic.cli	shared	154ccd0eb18c1e4f077301a1bfbec1f87a77395d716dbac10dc4f5b51103615a	e771f812cdbb5927cc73673fdc02f3a75b35761f9abe6650417d2a67330bb941
datomic.client_server.auth	transactor-only	fe7454cbf17486676faf2bc05f0bd6b7f0b9e5fa5484c7417aee3424b6421953	
datomic.client_server.marshaling	transactor-only	adce4b5641ccc4793747f62ce7d4e1cfaa8d7940f89c42d1e6b3ac9e83a3af42	
datomic.client_server.spi_support	transactor-only	55588238c46625d09ffdbca4037bc5ecbc5e19b0803a38eae11e327efd390dae	
datomic.cloudformation	transactor-only	bbfda5f0889bf8a1f8ad259f16b986ee499ff8ab388606fec63d9c37f7185537	
datomic.cloudwatch	shared	9e09b223f3216de8a5e961f3346843d8ace4085281584bcdb8228ad877034d99	b7a380a65aa362b50767b18799c56b633a8b5a0586628b2820c50cb04646153b
datomic.cluster	shared	7fef82c55f68a580db9d705dfa8e67b8069b7006d992fe415654e08734895b60	a7df83d5831e261b210c1722626874f9b431ba5ebabad91cebc765db7a1a4ea3
