ordinal	group_id	artifact_id	declared_version	scope	optional	type	classifier	exclusions	resolution	shipped_jars
1	org.clojure	clojure	1.11.4	compile	false	jar			exact	clojure-1.11.4.jar
2	com.cognitect	rebl	0.9.242	compile	false	jar			exact	rebl-0.9.242.jar
3	org.clojure	java.jmx	1.0.0	compile	false	jar			exact	java.jmx-1.0.0.jar
4	org.clojure	core.async	1.6.681	compile	false	jar			exact	core.async-1.6.681.jar
5	org.clojure	data.json	2.4.0	compile	false	jar		org.clojure:clojure	exact	data.json-2.4.0.jar
6	org.clojure	tools.cli	1.0.219	compile	false	jar		org.clojure:clojure	exact	tools.cli-1.0.219.jar
7	org.fressian	fressian	0.6.8	compile	false	jar			exact	fressian-0.6.8.jar
8	org.fusesource.jansi	jansi	1.11	compile	false	jar			exact	jansi-1.11.jar
9	org.msgpack	msgpack	0.6.12	compile	false	jar			exact	msgpack-0.6.12.jar
10	commons-cli	commons-cli	1.2	compile	false	jar			exact	commons-cli-1.2.jar
11	commons-codec	commons-codec	1.15	compile	false	jar			exact	commons-codec-1.15.jar
12	commons-io	commons-io	2.15.1	compile	false	jar			exact	commons-io-2.15.1.jar
13	ring	ring	1.10.0	provided	false	jar		javax.servlet:servlet-api,org.clojure:clojure	exact	ring-1.10.0.jar
14	hiccup	hiccup	1.0.1	provided	false	jar		org.clojure:clojure	exact	hiccup-1.0.1.jar
15	liberator	liberator	0.15.3	provided	false	jar		org.clojure:clojure	exact	liberator-0.15.3.jar
16	net.cgrand	moustache	1.1.0	provided	false	jar		org.clojure:clojure,ring:ring-core	exact	moustache-1.1.0.jar
17	com.datomic	core2	1.0.140	compile	false	jar			exact	core2-1.0.140.jar
18	com.cognitect	anomalies	0.1.12	compile	false	jar			exact	anomalies-0.1.12.jar
19	com.datomic	java-io	0.1.29	compile	false	jar			exact	java-io-0.1.29.jar
20	org.eclipse.jetty	jetty-servlet	9.4.53.v20231009	compile	false	jar			exact	jetty-servlet-9.4.53.v20231009.jar
21	org.eclipse.jetty	jetty-server	9.4.53.v20231009	compile	false	jar			exact	jetty-server-9.4.53.v20231009.jar
22	org.eclipse.jetty	jetty-continuation	9.4.53.v20231009	compile	false	jar			exact	jetty-continuation-9.4.53.v20231009.jar
23	org.eclipse.jetty	jetty-client	9.4.53.v20231009	compile	false	jar			exact	jetty-client-9.4.53.v20231009.jar
24	org.eclipse.jetty	jetty-util	9.4.53.v20231009	compile	false	jar			exact	jetty-util-9.4.53.v20231009.jar
25	ch.qos.logback	logback-classic	1.2.8	compile	false	jar			exact	logback-classic-1.2.8.jar
26	org.slf4j	jul-to-slf4j	1.7.36	compile	false	jar			exact	jul-to-slf4j-1.7.36.jar
27	org.slf4j	log4j-over-slf4j	1.7.36	runtime	false	jar			exact	log4j-over-slf4j-1.7.36.jar
28	org.slf4j	jcl-over-slf4j	1.7.36	compile	false	jar			exact	jcl-over-slf4j-1.7.36.jar
29	org.apache.activemq	artemis-server	2.31.2	compile	false	jar		commons-logging:commons-logging,org.jboss.logmanager:jboss-logmanager,org.jgroups:jgroups	exact	artemis-server-2.31.2.jar
30	com.datomic	datomic.specs	0.1.3	compile	false	jar			exact	datomic.specs-0.1.3.jar
31	com.datomic	client-spi	1.0.154	compile	false	jar			exact	client-spi-1.0.154.jar
32	com.cognitect	nano-impl	0.1.325	compile	false	jar			exact	nano-impl-0.1.325.jar
33	com.cognitect	http-client	1.0.126	compile	false	jar			exact	http-client-1.0.126.jar
34	com.cognitect	caster	1.0.45	compile	false	jar			exact	caster-1.0.45.jar
35	com.cognitect	tap	0.1.38	compile	false	jar			exact	tap-0.1.38.jar
36	com.cognitect	transit-clj	1.0.333	compile	false	jar		com.fasterxml.jackson.core:jackson-core,commons-codec:commons-codec	exact	transit-clj-1.0.333.jar
37	com.datomic	ion	1.0.67	compile	false	jar			exact	ion-1.0.67.jar
38	com.datomic	client-pro	1.0.81	compile	false	jar			exact	client-pro-1.0.81.jar
39	com.datomic	client-impl-shared	1.0.106	compile	false	jar			exact	client-impl-shared-1.0.106.jar
40	com.datomic	client	1.0.138	compile	false	jar			exact	client-1.0.138.jar
41	com.datomic	client-api	1.0.69	compile	false	jar			exact	client-api-1.0.69.jar
42	com.datomic	query-support	0.8.28	compile	false	jar			exact	query-support-0.8.28.jar
43	com.datomic	query-stats	1.0.13	compile	false	jar			exact	query-stats-1.0.13.jar
44	com.datomic	io-stats	1.0.14	compile	false	jar			exact	io-stats-1.0.14.jar
45	com.datastax.cassandra	cassandra-driver-core	3.7.1	provided	false	jar		io.netty:*	exact	cassandra-driver-core-3.7.1.jar
46	com.datastax.oss	java-driver-core-shaded	4.17.0	provided	false	jar			exact	java-driver-core-shaded-4.17.0.jar
47	software.aws.mcs	aws-sigv4-auth-cassandra-java-driver-plugin	4.0.9	provided	false	jar		com.datastax.oss:java-driver-core,com.datastax.oss:java-driver-core-shaded	exact	aws-sigv4-auth-cassandra-java-driver-plugin-4.0.9.jar
48	org.infinispan	infinispan-client-hotrod	5.1.2.FINAL	provided	false	jar		org.rhq.helpers:rhq-pluginAnnotations	missing	
49	com.h2database	h2	2.1.214	compile	false	jar			exact	h2-2.1.214.jar
50	com.datomic	datomic-lucene-core	3.3.0	compile	false	jar			exact	datomic-lucene-core-3.3.0.jar
51	com.github.ben-manes.caffeine	caffeine	3.1.5	compile	false	jar			exact	caffeine-3.1.5.jar
52	com.datomic	memcache-asg-java-client	1.1.0.36	compile	false	jar			exact	memcache-asg-java-client-1.1.0.36.jar
53	couchbase	couchbase-client	1.0.3	provided	false	jar		org.jboss.netty:netty,spy:spymemcached	missing	
54	com.amazonaws	aws-java-sdk	1.12.564	compile	false	jar		com.amazonaws:aws-java-sdk-kinesisvideo,commons-logging:commons-logging,javax.mail:mail,org.apache.httpcomponents:httpclient	exact	aws-java-sdk-1.12.564.jar
55	org.apache.httpcomponents	httpclient	4.5.13	compile	false	jar		commons-logging:commons-logging	exact	httpclient-4.5.13.jar
56	org.apache.tomcat	tomcat-jdbc	7.0.109	compile	false	jar		commons-logging:commons-logging	exact	tomcat-jdbc-7.0.109.jar
57	org.postgresql	postgresql	42.5.1	provided	false	jar			exact	postgresql-42.5.1.jar
58	org.codehaus.janino	commons-compiler-jdk	3.0.12	compile	false	jar			exact	commons-compiler-jdk-3.0.12.jar
