metric	value
primary.jar	datomic-transactor-pro-1.0.7277.jar
primary.sha256	d90819b57e2138085ddc26c93314f953c2cd776d1d1aa8b43a6bec1e475d3692
primary.class_entries	9682
primary.parsed_classes	9682
primary.fields	74425
primary.methods	39170
primary.instructions	1586900
primary.calls	322988
primary.invokedynamic	26
primary.field_accesses	209035
primary.literal_instructions	353863
primary.literal_fields	10
primary.clojure_aot_classes	9630
primary.java_classes	52
primary.unknown_source_classes	0
primary.source_mapped_classes	0
primary.distinct_clojure_source_paths	0
primary.distinct_java_source_paths	0
primary.namespace_init_classes	247
primary.distinct_namespaces	257
primary.resource_entries	11
pom.input_sha256	8de366709ed36188a8596ae9e412c6e9ed9a226938eb39e6b6650a36a8892304
pom.embedded_entry	META-INF/maven/com.datomic/datomic-transactor-pro/pom.xml
pom.embedded_sha256	8de366709ed36188a8596ae9e412c6e9ed9a226938eb39e6b6650a36a8892304
pom.embedded_matches_input	true
distribution.companion_jars	534
distribution.indexed_class_names	194660
distribution.duplicate_class_names	2634
pom.direct_dependencies	61
pom.exactly_resolved	59
pom.fallback_resolved	0
pom.missing	2
detail.jars	61
detail.classes	32132
parse.warnings	0
