entry	size	compressed_size	crc32	method	sha256
META-INF/MANIFEST.MF	64	63	3089b9c9	deflated	ac381c98524493f5f6e16c30e196f3c556371f894c58295d12caa519f9e48b0b
META-INF/maven/com.datomic/datomic-transactor-pro/pom.xml	17856	2896	f956cab9	deflated	8de366709ed36188a8596ae9e412c6e9ed9a226938eb39e6b6650a36a8892304
copyright	58	58	da4562c8	deflated	42007cd18bf4de9dfe65a1707878fae9c761ebb1c95f2bd599b19ce9a17ecc7b
css/bootstrap.min.css	98165	15886	4b16d231	deflated	a267aec5f3af2e1a85516a75831aaa4d0205fdbdef72ff35cf58525653e1dcf3
data_readers.clj	103	78	54c29c92	deflated	d681bd3c1854dd6303b29565f18451645a7265d64710fb7d2ee4e6abd55c3fc0
datomic/VERSION	8	10	abe5ac5e	deflated	5b9f9a16f9249dd933274578f4deb26eeb208178c66077c6be373365d780fc5d
datomic/aws/instance-arch.edn	1729	456	6c3e8fef	deflated	a0ce8dc0e131071523b6be446a8ea1ca91bc7085f1661b44b7d39b6e50750973
datomic/aws/region-arch-ami.edn	751	303	bb51a80e	deflated	402a1c4343bdc7951d5806344e026c4e18fa10942a642b4f4b41ccda4f143cb5
datomic/transactor-key.jks	1368	1200	67c8138d	deflated	f3627f52580b84fe8f536423643fb46999fd2458498989307f2820d778eb73a1
datomic/transactor-trust.jks	662	460	edaa55e1	deflated	ca64f839d051d909974a624b4345d83cc739a0b90edbe54e7c3605a2fd8fc13b
js/bootstrap.min.js	80722	23782	54f0ace6	deflated	dd0b8fdef4bd9d4d51bafdb1f039ebbda981a4134b4d88f55f4f08b5a246395d
