metric	value
candidate.dependencies	532
distribution.dependencies.retained	531
core2.original.excluded	true
nano.original.replaced	true
nano.sanitized.sha256	08f9699d6e35b9e052ec85ee15e0896b3a685c74e6e226d8cd89d9c61dbf8d5f
classpath.top_level.bytes	387428686
classpath.archive.entries	185393
classpath.archive.entry.bytes	2312738044
classpath.nested_archive.entries	95
classpath.nested_archive.entry.bytes	649478
forbidden.content.hits	0
scan.violations	0
negative.tests.passed	10
runtime.claim	none-dependency-isolation-only
