entry	source_kind	role	owner_kind	owner_id	owner_scope	resolution	structural_candidate_count	source_compatible_candidate_count	structural_candidates	source_file	bytes	class_sha256
clojure/core/async$_GT__BANG_.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1459	b3552b04a36f12a43cdcd56f908b73ab25d003a003e568409690eacd8d56935c
clojure/core/async$_LT__BANG_.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1381	717ba3f5fad067bdda27bfcd875820651668259633ab5325b62b46825da88d85
clojure/core/async$admix.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1309	26ecbc125e8ace05312ce03c0beb7b8dc7b7c472c7b5d53f455e442feeb4bd7f
clojure/core/async$alt_BANG_.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1481	50168624066cd75a70ab8a7ddbb1976ba852192d3ac099dee6b031b956653fd5
clojure/core/async$alt_BANG__BANG_.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1487	ada80f2f8b98d29a9168a5395399c9eb970f5ae69d58cb054c2f75173a753849
clojure/core/async$alt_flag.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1977	b0167c43b94e136e3bf04fb7c655e7e51b98c2f2be5b60e912ba9e8e85cca2bb
clojure/core/async$alt_flag$reify__6002.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	2218	298edfc0b2544d6eef3fe52fbf20a0f78ade1ba4ec7ed46042bb1112fc5c7a0a
clojure/core/async$alt_handler.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1339	060e0b888beb23e947947e30d0321691e30e5641461933b4b6216935a4a245d4
clojure/core/async$alt_handler$reify__6005.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	2562	2a096662f6ba5afb778a068f4ffb9c29fde46f1e8d0419bf566e7669ebc60ce2
clojure/core/async$alts_BANG_.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	2427	e8c67683c4a2d8b22a90fa3e7d58d8ebcb872278470cc9ebfbf87d87d6f26877
clojure/core/async$bounded_count.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1819	a136634b7a49ae87075d04be9277e6a494890c1895ee965dae7c747354664709
clojure/core/async$buffer.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	2440	87357194a5b8fa56f48546f950f78e6ae49cd8869b846f2b045c6e428fbdec9a
clojure/core/async$chan.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	2665	a4ec2bb826b36a1a2dfbb484bbd0f3a708212fb8e692e60811bd2b0134ec3c1f
clojure/core/async$close_BANG_.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1257	07a082bbff7352a697d6d266e3218888663273823f1c6ca908a239db3178a5e2
clojure/core/async$defblockingop.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	3701	98594a12b71785fa99a3d5be988d15266fbaf465c31aae30c72c0268b4c8a2a9
clojure/core/async$defblockingop$fn__5967.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	1158	6344104b244cbf945ca728a7aabac543b0adddef802c683a8b0855b07e96c933
clojure/core/async$do_alt.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	5636	48c6d29c149bb7911d9635fe4a35ca37015b96eebfaec18ff26b6635bad2521c
clojure/core/async$do_alt$fn__6036.class	clojure-aot	aot-function-or-generated	clojure-namespace	clojure.core.async	bundled	function-prefix+SourceFile-exact	1	1	clojure.core.async[function-prefix,source-match]	async.clj	2164	0833d9a5bad79a14fb34fe3b852f4e32d13ed2ea1b646d69500e157f0f08fee6
