category	item	value
input	transactor.jar.sha256	d90819b57e2138085ddc26c93314f953c2cd776d1d1aa8b43a6bec1e475d3692
tool	decompiler.source_manifest	stage-1-clojure-decompiler-source-manifest.sha256
tool	decompiler.standalone_jar.sha256	e96ed7c66a6a2bbf2586fe856f8159dc011c63f6cdb7b1f25d7037ae6a611928
tool	validate_decompiler.clj.sha256	fe29a5ac8dd8cb874b205802a3221a8f499a77a34914aa858681f232981530aa
tool	decompile-clojure.sh.sha256	9416bc7cb4e145d94c82224b7a1372d2cf44904e7102d25009a2c47587a101db
tool	decompile-one.sh.sha256	60c3d4aaa4ca6581275e319b56482d81f31edf83dc8ded5bb62ad33eff473e78
tool	decompile_one.clj.sha256	4e4aa985af8952f6dbda0b1ed16fd6a8c353ad8b4da915bb556814ba373c5e65
tool	recover-bundled-sources.sh.sha256	ec0146c5ff7d690e117c341b6eaec146e83ca41bca3963711d7212284c200eb9
tool	validate_bundled_sources.clj.sha256	9b1315ee8984c6440bf399b05a094a04bb49d47170ca9ce1e90513c73ed690a2
tool	MapBundledSources.java.sha256	bcfde66fb27eb8d109be72b2fc96fb159095719bde68958f1e3c079f23a20bc5
tool	compile_aligned_clojure_source.clj.sha256	ea3c508c09d0ee1f9c2ef0b0abe42a784c6e3490ff2f9129f2c2ff0a9587682f
tool	validate-exact-datomic-sources.sh.sha256	1ff13a706767822577c83a12fdda2fb7d2f0bf8474c164d2e251a0f179d483f4
tool	validate_clojure.clj.sha256	2ffca8845a288c50891cc28a52255cbff65ddae19049cc56d4c36b8eca163634
runtime	java.version	OpenJDK_21.0.12+8-1-24.04-Ubuntu
runtime	java.binary	/usr/lib/jvm/java-21-openjdk-amd64/bin/java
runtime	java.binary.sha256	377196a32c5e4442b604bbf36add1c49cfe8680cd27edd693b60872e58895e9e
configuration	jobs	8
configuration	namespace_timeout_seconds	600
configuration	namespace_heap	512m
configuration	locale	C
method	datomic_namespaces	160 strict decompiles plus 2 exact shipped dependency sources
method	datomic_dependency_sources	all 162 paths audited; 2 exact, 160 missing, 0 ambiguous
method	bundled_namespaces	85 exact shipped sources; hash/owner/declared-ns validated
method	original_class_loading	none; original classfiles are temporary decompiler data only
run	canonical.v1	/tmp/datomic-goal2-transactor-source-final-v7
run	canonical.v2	/tmp/datomic-goal2-transactor-source-final-v8
result	source_trees	byte-identical
result	source_manifest_file.sha256	2774eb1cffcbdf2e5d98b71a0d9633650c50a11c39bd0f43fc0d2d340495a55a
result	results.tsv.sha256	b0429931c643f4e282a0e17fce4e52cbc892e4308e675097b406de470336a21c
result	summary.tsv.sha256	cad2a1992f73247dc9e3837032a59e17f62ec5758edf8681809d2a77ea49887c
result	broken_decomp.tsv.sha256	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
result	datomic_read_validation.log.sha256	146d06f78fe6e774637395c6c99b6497fee90de1b86b3963a0e0df5b1b2af0b3
result	datomic_dependency_merge_validation.log.sha256	dadb6eb73756ddb17eb7cfb7df4d630eea22a7d433a3b988a8b9ecaf94a272d3
result	bundled_merge_validation.log.sha256	6c0fb0e17a6e1c3aed789b573a1edefe6da035375451fc40112286879c6a0985
result	datomic_dependency_source_ownership.tsv.sha256	04e98999d62b6b19b0a10ae7cce385bf45dc7f9fa0bdc18c3020ac46a00ab0fe
result	datomic_dependency_source_manifest.sha256	d6535ec1315e1b306c871e6334e107561ce597815c2fe8321b18a94c1fcfc19e
result	datomic_dependency_aot	36/36 raw-byte identical; namespace surfaces 2/2
regression	peer.jar.sha256	cb55c9d01e155f9965e3332cd8ef70be42cdefacb50c072076e9ecf22b9a23ba
regression	peer.full_run	/tmp/datomic-goal2-peer-decompile-final-v2
regression	peer.source_manifest_file.sha256	0ec14f378130c57646a8f4a2f80b83c6e1d64551cf4debe5cf512be1908c85b6
regression	peer.historical_manifest_file.sha256	ec43cd7e963514d855b0b6080c485caa638858dced0a3e40d4fca0b6866531be
regression	peer.changed_namespaces	13; all strict, reader, and source-only require pass
regression	peer.ioc_value_exits	16/16 restored to value-producing two-arm form
regression	peer.remaining_diff	24 equivalent nested try/catch/finally forms; no unexplained semantic difference
regression	transactor.affected_matrix	14/14 strict and reader pass
regression	transactor.in_ns_qualification	datomic.log.specs/sorted-by-t? retained after switch into datomic.log; original const__3 Var.getRawRoot at load bytecode 765
promotion	source_root	datomic-rev/transactor/src-clj
promotion	manifest_match	canonical.v1, canonical.v2, and promoted tree
