initializer	scope	recovery_method	status	exit_status	source_entry
clojure/core/async/impl/buffers__init	bundled	shipped-source	pass	0	clojure/core/async/impl/buffers.clj
clojure/core/async/impl/channels__init	bundled	shipped-source	pass	0	clojure/core/async/impl/channels.clj
clojure/core/async/impl/concurrent__init	bundled	shipped-source	pass	0	clojure/core/async/impl/concurrent.clj
clojure/core/async/impl/dispatch__init	bundled	shipped-source	pass	0	clojure/core/async/impl/dispatch.clj
clojure/core/async/impl/exec/threadpool__init	bundled	shipped-source	pass	0	clojure/core/async/impl/exec/threadpool.clj
clojure/core/async/impl/ioc_macros__init	bundled	shipped-source	pass	0	clojure/core/async/impl/ioc_macros.clj
clojure/core/async/impl/mutex__init	bundled	shipped-source	pass	0	clojure/core/async/impl/mutex.clj
clojure/core/async/impl/protocols__init	bundled	shipped-source	pass	0	clojure/core/async/impl/protocols.clj
clojure/core/async/impl/timers__init	bundled	shipped-source	pass	0	clojure/core/async/impl/timers.clj
clojure/core/async__init	bundled	shipped-source	pass	0	clojure/core/async.clj
clojure/core/cache__init	bundled	shipped-source	pass	0	clojure/core/cache.clj
clojure/core/memoize__init	bundled	shipped-source	pass	0	clojure/core/memoize.clj
clojure/data/csv__init	bundled	shipped-source	pass	0	clojure/data/csv.clj
clojure/data/json__init	bundled	shipped-source	pass	0	clojure/data/json.clj
clojure/data/priority_map__init	bundled	shipped-source	pass	0	clojure/data/priority_map.clj
clojure/java/jmx__init	bundled	shipped-source	pass	0	clojure/java/jmx.clj
clojure/tools/analyzer/ast__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/ast.clj
clojure/tools/analyzer/env__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/env.clj
clojure/tools/analyzer/jvm/utils__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/jvm/utils.clj
clojure/tools/analyzer/jvm__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/jvm.clj
clojure/tools/analyzer/passes/add_binding_atom__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/add_binding_atom.clj
clojure/tools/analyzer/passes/cleanup__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/cleanup.clj
clojure/tools/analyzer/passes/constant_lifter__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/constant_lifter.clj
clojure/tools/analyzer/passes/elide_meta__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/elide_meta.clj
clojure/tools/analyzer/passes/emit_form__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/emit_form.clj
clojure/tools/analyzer/passes/jvm/analyze_host_expr__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/jvm/analyze_host_expr.clj
clojure/tools/analyzer/passes/jvm/annotate_host_info__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/jvm/annotate_host_info.clj
clojure/tools/analyzer/passes/jvm/annotate_loops__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/jvm/annotate_loops.clj
clojure/tools/analyzer/passes/jvm/annotate_tag__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/jvm/annotate_tag.clj
clojure/tools/analyzer/passes/jvm/box__init	bundled	shipped-source	pass	0	clojure/tools/analyzer/passes/jvm/box.clj
