metric	value
input.transactor.sha256	d90819b57e2138085ddc26c93314f953c2cd776d1d1aa8b43a6bec1e475d3692
source.namespaces	2
source.ownership.sha256	04e98999d62b6b19b0a10ae7cce385bf45dc7f9fa0bdc18c3020ac46a00ab0fe
source.manifest.sha256	d6535ec1315e1b306c871e6334e107561ce597815c2fe8321b18a94c1fcfc19e
compiler.runtime	openjdk version "11.0.22" 2024-01-16 LTS
compiler.options	{:elide-meta [:doc :file :line]}
compiler.id.query_support	15244
compiler.id.specs	23980
independent.builds	2
independent.class_trees.identical	true
classes.total	36
classes.query_support	32
classes.specs	4
classes.raw_byte_matches	36
namespace.surface_matches	2
candidate.compile.original_implementation_jars	none
candidate.surface.original_implementation_jars	none
original.oracle.class_loading	separate surface process only
original.oracle.class_bytes	streamed ZIP comparison only
