namespace	init_entry	init_sha256	status	match_count	owner_jars	owner_jar_sha256s	source_entries	source_sha256s
datomic.adopter	datomic/adopter__init.class	a2baab834db3d5974724cae58a568decdd1b7987a025181c7df0cac8bda586da	missing	0				
datomic.aggregation	datomic/aggregation__init.class	55a31558ca09660bd9131c60143958103df45bc5ad2a0bec97804e64feacf7d4	missing	0				
datomic.api	datomic/api__init.class	334c8c9c29df7bb1ff0ee402472e8a973cf8d7672a1a03a677e4f836fe0159d1	missing	0				
datomic.artemis_client	datomic/artemis_client__init.class	9e9e71764d0db644b008dec4affc6a51cd749063cb6fa6fe99a8dc1770989549	missing	0				
datomic.artemis_server	datomic/artemis_server__init.class	03377466403209dfbf60141778f88d5aa42374e6d1cb31c4d65ee04402f2a001	missing	0				
datomic.assert	datomic/assert__init.class	e5131f7b488956da58503d88b134801e95f0ff7ef93b9a2ef4c0cc9cb2711197	missing	0				
datomic.async	datomic/async__init.class	7c88bf1c68dda742dfe48384b4c910d894df2a878943d39e3d90d43da6eed76d	missing	0				
datomic.aws	datomic/aws__init.class	03d111a914cb4dec3e8a399d70f3c407cd136c2136b868bb4f11dc1bc8968b95	missing	0				
datomic.aws_detect	datomic/aws_detect__init.class	3bf1cf30023e8d2293708014699e1071bf2288dc7503e663ac8a204649402d35	missing	0				
datomic.aws_monitor	datomic/aws_monitor__init.class	bdbac87d25c74ddd9b24e7dc141f447cc449caff589e01015812cea275b8d21d	missing	0				
datomic.backup	datomic/backup__init.class	8f8f4d7ef5a51c6e8298574715430d6679c31a22273ea064a62110df40c75e3c	missing	0				
datomic.backup_cli	datomic/backup_cli__init.class	8e69715ec8d8333d0b9f52b4ff9b2daa69b352f533beea69a076f0ae8b9d436f	missing	0				
datomic.btset	datomic/btset__init.class	481f69d4bc624f88ca628c78c099066b41fce232aecd803c74393c64e846eb6b	missing	0				
datomic.builtins	datomic/builtins__init.class	e694ac33bcd74c7ea7c51b9dd0d9eb9b053218df0fc8fd37e3f66af261038107	missing	0				
datomic.cache	datomic/cache__init.class	f39e69190378cddba5c717f00da465f2cff70cfe80d48de713691067f51305a0	missing	0				
datomic.cache.caffeine	datomic/cache/caffeine__init.class	3cc79e141fe5031a8b193dfc68a49aaa74cf9d06a1c8d483d7514bca28a6cd6a	missing	0				
datomic.cache.impl	datomic/cache/impl__init.class	1f8b837bba78bb86424e33cebbdadcf9463f023177eed901112e9d1bdb681780	missing	0				
datomic.callback	datomic/callback__init.class	f27578d5b1d8125c4478c40794cf10888dda7cc7d69f4fadbe5507fd0083d005	missing	0				
datomic.cassandra	datomic/cassandra__init.class	80117502ef511b8f62489e8f4bc2167c4e87d844dca60727223c451a1aa79a84	missing	0				
datomic.cassandra_v4	datomic/cassandra_v4__init.class	bd7ce80f8dbbe40e1ef4a96a14aa278aeee3f52f968f5a80a224a4215bd82cb4	missing	0				
datomic.cassandra_values	datomic/cassandra_values__init.class	2107e11a489e9c02820905026967d0fef91f95495ef00947cdd9a6a5b7e2f44d	missing	0				
datomic.cassandra_values_v4	datomic/cassandra_values_v4__init.class	6b53ca25daca4fd1acfe6cb8b6239c4b8b44272c30289b0777925f119f7f1c22	missing	0				
datomic.cast2slf4j	datomic/cast2slf4j__init.class	dea9c24ebae4ffa1c868b4b15f5bf14c9755b6c9824c3ef6851656f8feac8af8	missing	0				
datomic.cast2slf4j.peer_server	datomic/cast2slf4j/peer_server__init.class	accd09242be8469423831d107e2703f00a5f5f7caf03a16b09a9bff5399f61e4	missing	0				
datomic.catalog	datomic/catalog__init.class	8e07fd4500466bd586772449d65cd61216bc0da0fcd433ad75280ffe99bcf696	missing	0				
datomic.cleanup	datomic/cleanup__init.class	6faa7325e50daf0b015a7578b4bf95cc17c3457100b711e3305e8ea8390f2c15	missing	0				
datomic.cli	datomic/cli__init.class	154ccd0eb18c1e4f077301a1bfbec1f87a77395d716dbac10dc4f5b51103615a	missing	0				
datomic.client_server.auth	datomic/client_server/auth__init.class	fe7454cbf17486676faf2bc05f0bd6b7f0b9e5fa5484c7417aee3424b6421953	missing	0				
datomic.client_server.marshaling	datomic/client_server/marshaling__init.class	adce4b5641ccc4793747f62ce7d4e1cfaa8d7940f89c42d1e6b3ac9e83a3af42	missing	0				
datomic.client_server.spi_support	datomic/client_server/spi_support__init.class	55588238c46625d09ffdbca4037bc5ecbc5e19b0803a38eae11e327efd390dae	missing	0				
datomic.cloudformation	datomic/cloudformation__init.class	bbfda5f0889bf8a1f8ad259f16b986ee499ff8ab388606fec63d9c37f7185537	missing	0				
datomic.cloudwatch	datomic/cloudwatch__init.class	9e09b223f3216de8a5e961f3346843d8ace4085281584bcdb8228ad877034d99	missing	0				
datomic.cluster	datomic/cluster__init.class	7fef82c55f68a580db9d705dfa8e67b8069b7006d992fe415654e08734895b60	missing	0				
datomic.cluster_stack	datomic/cluster_stack__init.class	d6953304f30b7000c3a13cb649df5e85aadeead76bb94a834c49767a4678c22f	missing	0				
datomic.clusterfs	datomic/clusterfs__init.class	61c73d46280edd7a71de5f4aafac39d73b66dd0f9d43da52da42d30d3756e3b1	missing	0				
datomic.codec	datomic/codec__init.class	8f78c2b09998d6f3fafb0f2e6b5b460fddce5bba52eaf3501c3247a5c3461486	missing	0				
datomic.combined_cluster	datomic/combined_cluster__init.class	d7d839b5a72e4279a1c54235e7c24f7ff2f7a7a953def6ef25440a5b882000c0	missing	0				
datomic.common	datomic/common__init.class	e4ea04ff4e3c3455f3272fdaca6c6784e6abaac88f59184cba9afb789f17f978	missing	0				
datomic.config	datomic/config__init.class	28106128372e6c4c192ca41e6490cb97585bfc843813abb37ff176966e936bbd	missing	0				
datomic.config_ext	datomic/config_ext__init.class	fd30156595cbe14da686eebade2cbf65f022197110d4222d240125855b5dd27a	missing	0				
datomic.connector	datomic/connector__init.class	243897521544450e1fdb3f9ee48fa1078faca982031644b6d8ff199b57e445fd	missing	0				
datomic.coordination	datomic/coordination__init.class	9fa153c5f7f304c34f707caf0a35bd0efa5c8f2164a74a8bc80dce0635c89a25	missing	0				
datomic.coordination_ext	datomic/coordination_ext__init.class	7db64019cd221d783f4affe6a17cb2feff47f11e956f26d2396fe1abcc02fcf0	missing	0				
datomic.crypto	datomic/crypto__init.class	d4ed420213ded133ed1db8c4cd86c4bf7d092edf6cdf1a917b770b7f7ef8c51e	missing	0				
datomic.data	datomic/data__init.class	d68db0fa70ad9c30ee30a645461499de41a5738aacdfe4e6a09e3ec5fe80163c	missing	0				
datomic.datafy	datomic/datafy__init.class	1f3465511f95d0c8a093c0a7ace328b08f25b0bdedcd795942d94963a9463e71	missing	0				
datomic.datalog	datomic/datalog__init.class	ee8faba4f5ea7527c23461ab946ae7a681cd48ef41d8e3c0f9cd93d5b046e167	missing	0				
datomic.db	datomic/db__init.class	e59822e61d6ea86e0bb11ddd7cc2050d49d67a06682d15182d89a5a79dda2e9c	missing	0				
datomic.db.specs	datomic/db/specs__init.class	f579be80211fab2386e2c4c8618e003e2860e82da18ddb352720b6be058167e9	missing	0				
datomic.db_io	datomic/db_io__init.class	663f5fc1fc7a624af96752779be1a58b0c2aafae40e52466f4b7e7817f3ee971	missing	0				
datomic.ddb	datomic/ddb__init.class	5cf0049f91f9214455e9557a9d65a9ee47f4710ab6d68f340b425a4b35e78247	missing	0				
datomic.ddb_cluster	datomic/ddb_cluster__init.class	7a8d451b2641fc9264334337ace7820ec48fe68bb44b677110167a076d151fbb	missing	0				
datomic.ddb_s3_cluster	datomic/ddb_s3_cluster__init.class	20a9b209919748f40bd037dc994f438e6f42bcb922ef0488ec3c5d04e5afb484	missing	0				
datomic.ddb_values	datomic/ddb_values__init.class	89e94b84671cbb25d172de911b3a7c8881b85dbfe47421b0e81a12300c416348	missing	0				
datomic.domain	datomic/domain__init.class	05bff221a0e5f52472f45f3a27c55faf12e7ce1eb4ff7b2f57d684b5998c81e7	missing	0				
datomic.ec2	datomic/ec2__init.class	21eff65b32153cb9372571bea37ff4ec62be312fdd08b98b8079c66d257b8c9a	missing	0				
datomic.error	datomic/error__init.class	9ff765a5edbb27460604b6ef61a9b1a8a36a5b7b2ae74f6256e12d5977276df7	missing	0				
datomic.excise	datomic/excise__init.class	63c520ee6437967ca094469e05690eecdddc1c868178b4d3e4d7758abdc04f4b	missing	0				
datomic.extension_resolver	datomic/extension_resolver__init.class	997815618002831def27c63b57caa99cd5c23f36c96fe25ad69c809c64c936bd	missing	0				
datomic.extensions	datomic/extensions__init.class	9cbdbdf75f5de9f8c9e46b8e9bc2615663b089dffae941396db161ffb87f6d10	missing	0				
