metric	value
namespace_scope	datomic
namespaces.audited	162
sources.total	2
sources.clj	2
sources.cljc	0
namespace_validation.passed	2
namespace_validation.failed	0
ownership.sha256	04e98999d62b6b19b0a10ae7cce385bf45dc7f9fa0bdc18c3020ac46a00ab0fe
ownership_report.sha256	333d09658271a90aacbcabd591087a919e22406786704ce4912167391badb483
namespace_validation.sha256	bfe2ce56535dfc6318cd0c5bd28ab6ced11e4625548b14cbf2563e6a6bf11d13
source_manifest.sha256	d6535ec1315e1b306c871e6334e107561ce597815c2fe8321b18a94c1fcfc19e
