metric	value
input.transactor.sha256	d90819b57e2138085ddc26c93314f953c2cd776d1d1aa8b43a6bec1e475d3692
input.peer.sha256	cb55c9d01e155f9965e3332cd8ef70be42cdefacb50c072076e9ecf22b9a23ba
classes.total	9682
classes.accounted	9682
classes.clojure_aot	9630
classes.java	52
classes.orphan	0
classes.resolved_convention_only_ambiguous	2
classes.unresolved_ambiguous	0
classes.resolved_structural_prefix_overlap	1995
classes.prefix_overlap_resolved_by_unique_SourceFile	1993
classes.resolved_source_compatible_overlap	0
classes.selected_without_SourceFile_support	47
owners.clojure_namespaces	247
owners.java_sources	46
roles.namespace_init	247
roles.aot_function_or_generated	9087
roles.aot_type_or_interface	296
roles.java_top_level	46
roles.java_nested	6
resources.total	11
resources.shared_byte_identical_with_peer	8
resources.transactor_only	3
original_classfiles_extracted	0
original_resources_extracted_to_licensed_evidence	11
