jar	sha256	compile_reason
artemis-commons-2.31.2.jar	1d1b161ceab050a830b318acd3d2058f2bafcf9cd0ef75764f760d6a51fa2526	ActiveMQBuffer
clojure-1.11.4.jar	fc7ff1b6610d0e3494a75cc11ef81810bda402ac157012fe4e3b899586cf4133	clojure.lang API
datomic-lucene-core-3.3.0.jar	83f7d772fbe31e0c9e84779ee7d60ef688a570561d0b670932e14e7114bcc223	com.datomic.lucene.store API
fressian-0.6.8.jar	369bfd851ac23cb5b319791567d101de070cafd76fe2765eaf5a948ef6369915	BytesOutputStream
guava-32.0.1-android.jar	12429ff9ac33b7afd8b1a5071179757cf4d3c47f0f4099bc0384e644ecbf82dd	CacheLoader
javax.servlet-api-3.1.0.jar	af456b2dd41c4e82cf54f3e743bc678973d9fe35bd4d3071fa05c7e5333b8482	Servlet API
jetty-continuation-9.4.53.v20231009.jar	f00b5ec1cd2c0c29b7f1bde11f519f0e1cc854b40f292c2a73f20f4617ea6adf	Continuation API
jetty-server-9.4.53.v20231009.jar	9c4e9c6cb0a7a541031500af0823b678f65d809f481efa9cadd1ff81bda19f78	Jetty handler/request API
jetty-util-9.4.53.v20231009.jar	7e5370022ecd1f682653641169a33e62e26730dd1e786433bed506cb0dcb1abc	Jetty utility signatures
slf4j-api-1.7.32.jar	3624f8474c1af46d75f98bc097d7864a323c81b3808aa43689a6e1c601c027be	Logger API
