ordinal	entry	kind	treatment	bytes	sha256
1	META-INF/	directory	drop-directory	0	-
2	META-INF/MANIFEST.MF	resource	retain	82	587b83f896b60b3a94b708a9f23eee370cc4949270b2a2504beddeb37f5398f2
3	cognitect/	directory	drop-directory	0	-
4	cognitect/nano_impl/	directory	drop-directory	0	-
5	cognitect/nano_impl/io/	directory	drop-directory	0	-
6	nano_impl/	directory	drop-directory	0	-
7	META-INF/maven/	directory	drop-directory	0	-
8	META-INF/maven/com.cognitect/	directory	drop-directory	0	-
9	META-INF/maven/com.cognitect/nano-impl/	directory	drop-directory	0	-
10	cognitect/nano_impl/io/ByteBufferInputStream.class	class	retain	1733	c1559ca630075cf892a8b35b2c67a749269d88f1a6cf5fe2d48cb452762f6a3a
11	cognitect/nano_impl/io/BytesOutputStream.class	class	retain	640	307e45af28aa882e82318bf7661636f2dd92ba557e13994b662a33c58e6551f1
12	cognitect/nano_impl/marshaling.clj	resource	retain	11303	adf9d702b0b524e4a499afad3b505929bc3b28ea663baa845f23be84d92e66fc
13	cognitect/nano_impl/aws_detect.clj	resource	retain	2470	8a11d68e2d678b8d98a0e6955b2450c568dd5262641307f85f1cb21b0092e19c
14	cognitect/nano_impl/registration.clj	resource	retain	24036	2fb1ad8f46b6269fb2a192f2622288a0d6276961ace7bbd3f38f991bf11cfd6e
15	cognitect/nano_impl/ring.clj	resource	retain	1963	4367699ac4677d15fdfd97d29dd41aef5f231fc6995dad5d73fcae57fcbcf130
16	cognitect/nano_impl/server.clj	resource	retain	14027	49318cb8e352418cfaeb0438c4d2458bccf2d57cad695df805ebe21d03a532b6
17	cognitect/nano_impl.clj	resource	retain	13585	6e6706379425f7a3454774a1b7978f433c41fbb312c1302dd354cce6d26b47fb
18	nano_impl/transactor-key.jks	resource	remove-forbidden	1368	f3627f52580b84fe8f536423643fb46999fd2458498989307f2820d778eb73a1
19	nano_impl/transactor-trust.jks	resource	remove-forbidden	662	ca64f839d051d909974a624b4345d83cc739a0b90edbe54e7c3605a2fd8fc13b
20	META-INF/maven/com.cognitect/nano-impl/pom.xml	resource	retain	9464	f12b7e27ea56c40a6908ca27b98da7b2178ad6efeed2ab9eafa29bb1f71488db
21	META-INF/maven/com.cognitect/nano-impl/pom.properties	resource	retain	59	02f7cc0b7fd65c703b90a26bc22dba5719743826e3fc11b79afe0f7370ba0980
