metric	value
status	pass-content-sanitization-only
input.jar	lib/nano-impl-0.1.325.jar
input.jar.sha256	fbde8184da356bd3a9995a9f05f01493efe4baa87c4d48377cda3e53331807cd
input.jar.bytes	25293
input.entries.total	21
input.entries.directories	8
input.entries.files	13
retained.entries	11
retained.payload.bytes	79362
removed.forbidden.entries	2
removed.forbidden.bytes	2030
derivative.jar.sha256	08f9699d6e35b9e052ec85ee15e0896b3a685c74e6e226d8cd89d9c61dbf8d5f
derivative.jar.bytes	81218
derivative.entries.total	11
derivative.entries.directories	0
derivative.entries.classes	2
derivative.entries.resources	9
derivative.entries.stored	11
derivative.entries.deflated	0
derivative.timestamp.local	1980-01-01T00:00
derivative.timestamp.epoch_millis	315532800000
derivative.entry.extra_hex	555405000100a6ce12
forbidden.hash.hits	0
independent.internal.builds	2
independent.internal.builds.byte_identical	true
independent.full.runs	2
independent.full.outputs.byte_identical	true
negative.tests.total	5
negative.tests.passed	5
canonical.output	/tmp/datomic-goal2-nano-sanitization-20260827-c
canonical.output.manifest.sha256	af6b5efdd9a3cdf16d1e1f960910bc1b72a686fecae26734bc4b65c6ba8408eb
second.output	/tmp/datomic-goal2-nano-sanitization-20260827-d
second.output.manifest.sha256	af6b5efdd9a3cdf16d1e1f960910bc1b72a686fecae26734bc4b65c6ba8408eb
runtime.integration.claim	none
