owner_kind	owner_id	class_count
clojure-namespace	clojure.core.async	345
clojure-namespace	clojure.core.async.impl.buffers	21
clojure-namespace	clojure.core.async.impl.channels	33
clojure-namespace	clojure.core.async.impl.concurrent	7
clojure-namespace	clojure.core.async.impl.dispatch	10
clojure-namespace	clojure.core.async.impl.exec.threadpool	6
clojure-namespace	clojure.core.async.impl.ioc_macros	319
clojure-namespace	clojure.core.async.impl.mutex	5
clojure-namespace	clojure.core.async.impl.protocols	57
clojure-namespace	clojure.core.async.impl.timers	12
clojure-namespace	clojure.core.cache	85
clojure-namespace	clojure.core.memoize	58
clojure-namespace	clojure.data.csv	21
clojure-namespace	clojure.data.json	69
clojure-namespace	clojure.data.priority_map	56
clojure-namespace	clojure.java.jmx	62
clojure-namespace	clojure.tools.analyzer	61
clojure-namespace	clojure.tools.analyzer.ast	24
clojure-namespace	clojure.tools.analyzer.env	6
clojure-namespace	clojure.tools.analyzer.jvm	51
clojure-namespace	clojure.tools.analyzer.jvm.utils	52
clojure-namespace	clojure.tools.analyzer.passes	39
clojure-namespace	clojure.tools.analyzer.passes.add_binding_atom	5
clojure-namespace	clojure.tools.analyzer.passes.cleanup	6
clojure-namespace	clojure.tools.analyzer.passes.constant_lifter	8
clojure-namespace	clojure.tools.analyzer.passes.elide_meta	9
clojure-namespace	clojure.tools.analyzer.passes.emit_form	51
clojure-namespace	clojure.tools.analyzer.passes.jvm.analyze_host_expr	11
clojure-namespace	clojure.tools.analyzer.passes.jvm.annotate_host_info	19
clojure-namespace	clojure.tools.analyzer.passes.jvm.annotate_loops	24
clojure-namespace	clojure.tools.analyzer.passes.jvm.annotate_tag	13
clojure-namespace	clojure.tools.analyzer.passes.jvm.box	31
clojure-namespace	clojure.tools.analyzer.passes.jvm.classify_invoke	6
clojure-namespace	clojure.tools.analyzer.passes.jvm.constant_lifter	5
clojure-namespace	clojure.tools.analyzer.passes.jvm.emit_form	40
clojure-namespace	clojure.tools.analyzer.passes.jvm.fix_case_test	4
clojure-namespace	clojure.tools.analyzer.passes.jvm.infer_tag	38
clojure-namespace	clojure.tools.analyzer.passes.jvm.validate	29
clojure-namespace	clojure.tools.analyzer.passes.jvm.validate_loop_locals	27
clojure-namespace	clojure.tools.analyzer.passes.jvm.validate_recur	12
