entry	category	phase	shared_byte_identical_with_peer	evidence_disposition	candidate_action	candidate_source	bytes	sha256
META-INF/MANIFEST.MF	build-metadata	core-packaging	true	licensed-evidence-only	regenerate	candidate build tool; do not copy original Created-By metadata	64	ac381c98524493f5f6e16c30e196f3c556371f894c58295d12caa519f9e48b0b
META-INF/maven/com.datomic/datomic-transactor-pro/pom.xml	dependency-and-provenance-metadata	core-build	false	licensed-evidence-only	reconstruct	verified dependency inventory; generate candidate coordinates/POM	17856	8de366709ed36188a8596ae9e412c6e9ed9a226938eb39e6b6650a36a8892304
copyright	legal-notice	core-packaging	true	licensed-evidence-only-pending-license-review	author-candidate-notice	candidate copyright plus required third-party notices	58	42007cd18bf4de9dfe65a1707878fae9c761ebb1c95f2bd599b19ce9a17ecc7b
css/bootstrap.min.css	third-party-ui-asset-bootstrap-2.1.1	optional-interface	false	licensed-evidence-only	source-from-upstream	official Bootstrap 2.1.1 source/release with its Apache-2.0 notice	98165	a267aec5f3af2e1a85516a75831aaa4d0205fdbdef72ff35cf58525653e1dcf3
data_readers.clj	clojure-runtime-registration	core-runtime	true	semantic-reference-shared-with-peer	reconstruct-and-test	candidate source registering db/id, db/fn, and base64 readers	103	d681bd3c1854dd6303b29565f18451645a7265d64710fb7d2ee4e6abd55c3fc0
datomic/VERSION	version-metadata	core-packaging	true	semantic-reference-shared-with-peer	generate	candidate build version; retain 1.0.7277 only as compatibility target	8	5b9f9a16f9249dd933274578f4deb26eeb208178c66077c6be373365d780fc5d
datomic/aws/instance-arch.edn	aws-deployment-metadata	alternative-backend-later	true	licensed-evidence-only-shared-with-peer	reconstruct-or-replace	tested current AWS instance architecture discovery	1729	a0ce8dc0e131071523b6be446a8ea1ca91bc7085f1661b44b7d39b6e50750973
datomic/aws/region-arch-ami.edn	aws-ami-catalog	alternative-backend-later	true	licensed-evidence-only-shared-with-peer	replace-with-current-discovery	AWS API/config; never ship stale AMI IDs blindly	751	402a1c4343bdc7951d5806344e026c4e18fa10942a642b4f4b41ccda4f143cb5
datomic/transactor-key.jks	tls-private-key-keystore	transport-security	true	secret-bearing-licensed-evidence-never-runtime	generate-per-environment	new candidate-owned keypair/certificate	1368	f3627f52580b84fe8f536423643fb46999fd2458498989307f2820d778eb73a1
datomic/transactor-trust.jks	tls-truststore	transport-security	true	licensed-evidence-never-runtime	generate-per-environment	candidate trust anchors paired with generated identity	662	ca64f839d051d909974a624b4345d83cc739a0b90edbe54e7c3605a2fd8fc13b
js/bootstrap.min.js	third-party-ui-asset-bootstrap-5.3.3	optional-interface	false	licensed-evidence-only	source-from-upstream	official Bootstrap 5.3.3 release with its MIT notice	80722	dd0b8fdef4bd9d4d51bafdb1f039ebbda981a4134b4d88f55f4f08b5a246395d
