path	origin	archive	reading_group_hint	counterpart	baseline_relation	baseline_sha256
1.0.7705/peer/src-clj/data_readers.clj	exact-packaged-resource		dependency-or-resource		only-in-this-artifact	d681bd3c1854dd6303b29565f18451645a7265d64710fb7d2ee4e6abd55c3fc0
1.0.7705/peer/src-clj/datomic/adopter.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/adopter.clj	byte-identical	52dc914581ff5da616ec51297bc9ada28910e4df4d6ecc543d93a4c340159678
1.0.7705/peer/src-clj/datomic/aggregation.clj	recovered-datomic-initializer		query-navigation-and-search	1.0.7705/transactor/src-clj/datomic/aggregation.clj	same-path-not-byte-identical	9868faa4335640a35f7e428ec3559d9400f257546572c748bf9ff4609164fad7
1.0.7705/peer/src-clj/datomic/anomalizer.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	3809a2953cfb1fea685487ed762986c26196fe8d0af4c606debeeaa28f4def6c
1.0.7705/peer/src-clj/datomic/api.clj	recovered-datomic-initializer		application-and-transport-boundaries	1.0.7705/transactor/src-clj/datomic/api.clj	same-path-not-byte-identical	902a31a7f35c3390ec34cac901173895dae9a3985e09cd377e6044540002fecb
1.0.7705/peer/src-clj/datomic/artemis_client.clj	recovered-datomic-initializer		application-and-transport-boundaries	1.0.7705/transactor/src-clj/datomic/artemis_client.clj	same-path-not-byte-identical	00520e090dfe391d06d7aea86cd7a5bbfc7bb2fe3dba6e1510a5ad49dbdd2f1b
1.0.7705/peer/src-clj/datomic/assert.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/assert.clj	same-path-not-byte-identical	6026ae6025b74c54dc381a47d5dee659e6f22320b8e9a958ac822dd9fc55ec42
1.0.7705/peer/src-clj/datomic/async.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/async.clj	same-path-not-byte-identical	e5f5b39df8b985a4caf79a3483ff0d77b4c3df1b6c97e0c69c1464bc525370b4
1.0.7705/peer/src-clj/datomic/aws/client/anomalizer.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	6156347bb1cd7847d30424458b8a354d648a18ea5e391c75a848e52bb6e4c0be
1.0.7705/peer/src-clj/datomic/aws/client/api.clj	recovered-datomic-initializer		application-and-transport-boundaries		only-in-this-artifact	ff286e201a756a9bf04b12fe9818f66f522043ce2989018b0ec970ababda5ab1
1.0.7705/peer/src-clj/datomic/aws/client/datafy.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	5277f20565dbcca0b119ec51b8a3c0fd61349341e1d27a19f251170c762ba7ba
1.0.7705/peer/src-clj/datomic/aws/client/impl/async.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	72ceb4bf7ca6a95e9c80f8d9f9c8a8e56810b34463e936eb00f8cfcd43bad4a3
1.0.7705/peer/src-clj/datomic/aws/client/impl/sync.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	a6b0646dfeb95895a4ed9132388fa2b8ec557d7773a70e02fec6bf3962e0fd3d
1.0.7705/peer/src-clj/datomic/aws/client/registry.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	c8d7ffd62d70242c4156e22677489d833250741307ba07eff626364f9aab0295
1.0.7705/peer/src-clj/datomic/aws/client/util.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect		only-in-this-artifact	d072b865541fd97e1f57c9648c0efe20630510df1e6578249f6e0d78f42f9c5e
1.0.7705/peer/src-clj/datomic/aws_detect.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/aws_detect.clj	byte-identical	24b40ada1d198ed96840852ae9c029bd8c78dcfba4449b96569445c8e69d1d65
1.0.7705/peer/src-clj/datomic/aws_monitor.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/aws_monitor.clj	same-path-not-byte-identical	cf8b02f9ef104afa49471be209e06190fc920667b21f14c42b536cd690d0134a
1.0.7705/peer/src-clj/datomic/backup.clj	recovered-datomic-initializer		operations-and-lifecycle	1.0.7705/transactor/src-clj/datomic/backup.clj	same-path-not-byte-identical	97081b155e01f6a50f40ba865b1744086d73f3e70a98e5406df31d433ad08359
1.0.7705/peer/src-clj/datomic/btset.clj	recovered-datomic-initializer		shared-structures-and-encoding	1.0.7705/transactor/src-clj/datomic/btset.clj	same-path-not-byte-identical	349139a48d116ed07a1e7f3583c2f73ef7a4e7b8d35af38b72c0484efdddd380
1.0.7705/peer/src-clj/datomic/builtins.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/builtins.clj	same-path-not-byte-identical	00a184f0a1b0226c064856a28f5ec4d9c7b46740af9873b6c68bbf7937744bf6
1.0.7705/peer/src-clj/datomic/cache.clj	recovered-datomic-initializer		caching-and-residency	1.0.7705/transactor/src-clj/datomic/cache.clj	same-path-not-byte-identical	6b294f5ef89c12ec8aae3c2a5ce52471a27b7bc02a52570810e720fb4b0b3e9e
1.0.7705/peer/src-clj/datomic/cache/caffeine.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/cache/caffeine.clj	same-path-not-byte-identical	2cf04d270ac7ab599cb49b6b26d84c42016ec7c4ecaf54fee2fa643d79c16f3b
1.0.7705/peer/src-clj/datomic/cache/impl.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/cache/impl.clj	same-path-not-byte-identical	6909c3ab7ab45948041b6ba63bcf2205fed4e74bee8bc3eb99a3c1559a50d6b8
1.0.7705/peer/src-clj/datomic/callback.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/callback.clj	same-path-not-byte-identical	980a5b8dc322a7861c3a6b4ac0e98e61121711a85025972dfcd13e9414a40f56
1.0.7705/peer/src-clj/datomic/cassandra.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/cassandra.clj	same-path-not-byte-identical	332aa32513787b8d3db0489bf7c32db34fb990e91da97b466a984c965db8b05a
1.0.7705/peer/src-clj/datomic/cassandra_v4.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/cassandra_v4.clj	same-path-not-byte-identical	39a89dfdd4241be58552003348eb7120f7992accc9b841e75ba4a02502127ce8
1.0.7705/peer/src-clj/datomic/cassandra_values.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/cassandra_values.clj	same-path-not-byte-identical	244260c1e54963642808819f150fc5640f7383e2db914ef44d2961c573b01995
1.0.7705/peer/src-clj/datomic/cassandra_values_v4.clj	recovered-datomic-initializer		non-target-provider-or-integration-evidence	1.0.7705/transactor/src-clj/datomic/cassandra_values_v4.clj	same-path-not-byte-identical	ba75e56acba3fc64a1f8c9abee8d4a2c9ee24fe0a06c5e714367c541a73084b7
1.0.7705/peer/src-clj/datomic/cast2slf4j.clj	recovered-datomic-initializer		shared-model-or-support-to-inspect	1.0.7705/transactor/src-clj/datomic/cast2slf4j.clj	same-path-not-byte-identical	0bcb07016edc674d100577ed0144520d6ce937bde964d2987f2911d5f50d512c
